Punctuality (1-5),Adherence Level,Response Time Level,No. of Meetings Attended,No. of Subordinates,Decision Contribution (1-5),Learning Hours / Month,Type of Learning,Team Engagement Frequency,Completed Storypoint Ratio
4.0,4.0,1.0,21.0,5.0,5.0,27.0,Self-learning,3.0,0.58
5.0,1.0,5.0,29.0,9.0,2.0,33.0,Research & innovation,9.0,0.99
1.0,1.0,1.0,17.0,9.0,3.0,10.0,Research & innovation,5.0,0.69
4.0,1.0,3.0,21.0,9.0,4.0,25.0,None observed,5.0,0.83
5.0,5.0,2.0,20.0,5.0,1.0,25.0,Knowledge sharing,10.0,0.73
2.0,2.0,3.0,8.0,2.0,4.0,35.0,Formal training,9.0,0.84
5.0,5.0,5.0,32.0,1.0,1.0,37.0,Formal training,9.0,0.61
1.0,2.0,3.0,14.0,10.0,4.0,16.0,Research & innovation,2.0,0.44
2.0,1.0,3.0,25.0,9.0,5.0,7.0,Self-learning,10.0,0.65
4.0,3.0,2.0,27.0,1.0,4.0,4.0,Formal training,10.0,0.7
1.0,4.0,4.0,14.0,3.0,1.0,11.0,Knowledge sharing,8.0,0.92
1.0,2.0,3.0,34.0,9.0,5.0,4.0,Formal training,2.0,0.48
5.0,3.0,5.0,14.0,5.0,3.0,27.0,Formal training,8.0,0.53
5.0,4.0,5.0,16.0,9.0,2.0,30.0,Research & innovation,9.0,0.66
1.0,3.0,1.0,32.0,1.0,2.0,30.0,Research & innovation,8.0,0.86
1.0,5.0,2.0,36.0,9.0,5.0,3.0,Research & innovation,3.0,0.55
3.0,3.0,4.0,34.0,0.0,3.0,14.0,Online courses / certifications,8.0,0.99
1.0,2.0,5.0,25.0,10.0,3.0,21.0,Formal training,2.0,0.9
3.0,2.0,2.0,22.0,3.0,1.0,3.0,Formal training,3.0,0.84
2.0,2.0,1.0,34.0,8.0,2.0,7.0,Self-learning,9.0,0.42
3.0,4.0,3.0,14.0,2.0,5.0,40.0,Online courses / certifications,7.0,0.63
3.0,2.0,1.0,20.0,7.0,1.0,19.0,Research & innovation,10.0,0.84
3.0,5.0,3.0,28.0,6.0,3.0,4.0,Knowledge sharing,10.0,1.0
2.0,1.0,4.0,30.0,9.0,3.0,39.0,Research & innovation,4.0,0.42
2.0,1.0,3.0,31.0,8.0,5.0,32.0,Research & innovation,3.0,0.77
3.0,3.0,3.0,27.0,2.0,3.0,4.0,Self-learning,8.0,0.4
4.0,3.0,4.0,10.0,10.0,5.0,16.0,Formal training,5.0,0.62
5.0,1.0,1.0,10.0,6.0,1.0,13.0,Formal training,7.0,0.58
2.0,3.0,3.0,35.0,8.0,2.0,17.0,Knowledge sharing,1.0,0.51
3.0,1.0,5.0,9.0,8.0,1.0,6.0,None observed,5.0,0.92
2.0,3.0,3.0,12.0,0.0,4.0,3.0,Self-learning,1.0,0.74
5.0,4.0,5.0,29.0,8.0,3.0,28.0,Online courses / certifications,8.0,1.0
1.0,2.0,3.0,26.0,4.0,1.0,15.0,Online courses / certifications,3.0,0.41
4.0,4.0,3.0,20.0,7.0,5.0,23.0,Formal training,10.0,0.92
1.0,2.0,1.0,39.0,4.0,1.0,34.0,None observed,10.0,0.72
4.0,4.0,5.0,19.0,3.0,5.0,32.0,Online courses / certifications,2.0,1.0
1.0,1.0,4.0,6.0,10.0,3.0,30.0,None observed,8.0,0.98
5.0,4.0,1.0,10.0,9.0,5.0,22.0,Research & innovation,9.0,0.66
1.0,3.0,3.0,26.0,6.0,5.0,10.0,Research & innovation,9.0,0.45
2.0,3.0,4.0,9.0,7.0,5.0,32.0,None observed,10.0,0.69
5.0,2.0,1.0,10.0,1.0,2.0,24.0,Online courses / certifications,5.0,0.88
2.0,3.0,3.0,22.0,1.0,5.0,8.0,None observed,9.0,0.46
4.0,5.0,3.0,16.0,8.0,2.0,33.0,Online courses / certifications,3.0,0.66
5.0,4.0,5.0,28.0,8.0,1.0,30.0,Knowledge sharing,3.0,0.5
5.0,5.0,4.0,8.0,4.0,2.0,10.0,Knowledge sharing,4.0,0.88
4.0,4.0,4.0,36.0,5.0,1.0,4.0,None observed,10.0,0.85
1.0,5.0,2.0,26.0,1.0,4.0,10.0,On-the-job learning,6.0,0.53
2.0,5.0,5.0,23.0,0.0,3.0,15.0,Research & innovation,3.0,0.61
1.0,4.0,1.0,37.0,3.0,2.0,36.0,Research & innovation,1.0,0.55
1.0,3.0,2.0,9.0,7.0,4.0,34.0,Formal training,5.0,0.42
3.0,4.0,5.0,16.0,3.0,5.0,4.0,None observed,8.0,0.72
1.0,1.0,3.0,14.0,4.0,1.0,4.0,None observed,8.0,0.92
4.0,3.0,1.0,18.0,7.0,3.0,31.0,On-the-job learning,10.0,0.66
3.0,3.0,5.0,9.0,3.0,4.0,10.0,Online courses / certifications,10.0,0.7
1.0,4.0,4.0,38.0,3.0,5.0,3.0,On-the-job learning,2.0,0.67
5.0,4.0,3.0,14.0,9.0,2.0,33.0,Research & innovation,2.0,0.6
2.0,5.0,2.0,27.0,3.0,5.0,13.0,Self-learning,1.0,0.96
3.0,4.0,4.0,15.0,6.0,4.0,26.0,Research & innovation,2.0,0.57
2.0,3.0,4.0,20.0,1.0,1.0,27.0,Online courses / certifications,10.0,0.56
4.0,5.0,3.0,11.0,1.0,3.0,36.0,Self-learning,2.0,0.66
1.0,5.0,3.0,34.0,0.0,5.0,39.0,On-the-job learning,6.0,0.84
3.0,4.0,4.0,19.0,2.0,3.0,30.0,On-the-job learning,7.0,0.63
1.0,4.0,4.0,35.0,9.0,5.0,24.0,Online courses / certifications,10.0,0.95
2.0,2.0,2.0,37.0,10.0,3.0,37.0,Online courses / certifications,2.0,0.56
5.0,3.0,5.0,40.0,2.0,3.0,8.0,Research & innovation,4.0,0.95
2.0,4.0,5.0,16.0,1.0,4.0,23.0,Research & innovation,2.0,0.74
2.0,3.0,3.0,15.0,1.0,1.0,21.0,On-the-job learning,3.0,0.78
1.0,5.0,4.0,14.0,3.0,1.0,21.0,Research & innovation,1.0,0.57
1.0,3.0,1.0,11.0,4.0,2.0,31.0,Online courses / certifications,8.0,0.69
2.0,2.0,1.0,33.0,2.0,5.0,26.0,Online courses / certifications,7.0,0.51
4.0,3.0,3.0,22.0,0.0,5.0,16.0,Knowledge sharing,6.0,0.94
5.0,3.0,3.0,19.0,0.0,3.0,24.0,On-the-job learning,10.0,0.79
1.0,1.0,4.0,16.0,9.0,2.0,10.0,Online courses / certifications,5.0,0.65
5.0,5.0,5.0,5.0,8.0,1.0,3.0,Online courses / certifications,4.0,0.54
5.0,2.0,2.0,17.0,4.0,4.0,13.0,Online courses / certifications,1.0,0.65
5.0,2.0,3.0,27.0,3.0,2.0,23.0,Research & innovation,8.0,0.7
3.0,3.0,1.0,39.0,0.0,1.0,15.0,None observed,3.0,0.72
1.0,1.0,3.0,24.0,9.0,1.0,20.0,On-the-job learning,1.0,0.74
2.0,3.0,4.0,16.0,10.0,5.0,5.0,Research & innovation,4.0,0.4
2.0,3.0,2.0,35.0,7.0,4.0,24.0,On-the-job learning,5.0,0.6
2.0,2.0,4.0,20.0,9.0,2.0,34.0,Knowledge sharing,5.0,0.78
5.0,3.0,1.0,30.0,5.0,3.0,33.0,Self-learning,10.0,0.92
2.0,2.0,2.0,16.0,8.0,4.0,40.0,Research & innovation,4.0,0.92
4.0,2.0,4.0,35.0,10.0,2.0,40.0,Knowledge sharing,2.0,1.0
2.0,3.0,3.0,21.0,4.0,5.0,29.0,Research & innovation,2.0,0.62
1.0,3.0,3.0,28.0,1.0,5.0,4.0,On-the-job learning,3.0,0.65
1.0,5.0,2.0,27.0,5.0,3.0,16.0,Online courses / certifications,10.0,0.42
2.0,3.0,1.0,21.0,3.0,3.0,7.0,None observed,2.0,0.72
1.0,5.0,2.0,22.0,7.0,2.0,34.0,Knowledge sharing,1.0,0.86
3.0,5.0,4.0,28.0,6.0,3.0,30.0,None observed,3.0,0.65
3.0,4.0,5.0,6.0,6.0,1.0,24.0,Research & innovation,10.0,0.64
5.0,1.0,4.0,33.0,6.0,2.0,13.0,Online courses / certifications,2.0,0.9
1.0,2.0,3.0,22.0,8.0,4.0,10.0,Online courses / certifications,10.0,0.77
4.0,4.0,2.0,40.0,6.0,4.0,17.0,On-the-job learning,9.0,0.49
5.0,5.0,3.0,5.0,3.0,1.0,11.0,Research & innovation,2.0,0.83
2.0,3.0,5.0,40.0,8.0,1.0,18.0,Knowledge sharing,2.0,0.91
2.0,1.0,2.0,33.0,3.0,1.0,26.0,Research & innovation,10.0,0.5
1.0,2.0,3.0,14.0,9.0,3.0,22.0,Formal training,9.0,0.61
3.0,4.0,5.0,24.0,1.0,2.0,35.0,Knowledge sharing,8.0,0.77
4.0,5.0,1.0,40.0,4.0,3.0,30.0,On-the-job learning,4.0,0.57
2.0,5.0,2.0,11.0,9.0,3.0,4.0,Knowledge sharing,7.0,1.0
2.0,5.0,1.0,30.0,4.0,1.0,27.0,On-the-job learning,6.0,0.52
2.0,2.0,2.0,10.0,1.0,1.0,17.0,Online courses / certifications,1.0,0.42
4.0,4.0,5.0,29.0,3.0,4.0,34.0,Knowledge sharing,8.0,0.83
3.0,5.0,4.0,29.0,8.0,5.0,16.0,Online courses / certifications,1.0,0.4
3.0,5.0,4.0,22.0,9.0,5.0,16.0,None observed,6.0,0.93
4.0,5.0,5.0,39.0,8.0,1.0,35.0,Online courses / certifications,4.0,0.72
2.0,2.0,1.0,17.0,7.0,1.0,18.0,On-the-job learning,5.0,0.83
2.0,4.0,5.0,34.0,7.0,4.0,36.0,None observed,5.0,0.42
2.0,4.0,5.0,34.0,9.0,3.0,4.0,None observed,4.0,0.83
3.0,1.0,5.0,36.0,2.0,5.0,16.0,Online courses / certifications,1.0,0.48
4.0,3.0,5.0,39.0,5.0,4.0,28.0,Online courses / certifications,7.0,0.9
4.0,5.0,1.0,7.0,3.0,1.0,30.0,On-the-job learning,8.0,0.58
3.0,4.0,1.0,15.0,4.0,1.0,2.0,Research & innovation,9.0,0.83
1.0,1.0,5.0,34.0,1.0,4.0,21.0,Formal training,5.0,0.8
5.0,3.0,2.0,29.0,1.0,3.0,15.0,Research & innovation,7.0,0.64
1.0,4.0,2.0,33.0,3.0,2.0,22.0,Research & innovation,2.0,0.52
4.0,4.0,5.0,31.0,2.0,3.0,10.0,Online courses / certifications,3.0,0.5
1.0,2.0,5.0,10.0,2.0,5.0,19.0,Online courses / certifications,7.0,0.45
1.0,5.0,3.0,6.0,4.0,4.0,7.0,Self-learning,9.0,0.5
4.0,5.0,2.0,12.0,0.0,2.0,31.0,Self-learning,8.0,0.62
2.0,5.0,1.0,9.0,0.0,4.0,8.0,Research & innovation,4.0,0.53
3.0,3.0,4.0,8.0,4.0,3.0,13.0,Knowledge sharing,8.0,0.91
4.0,4.0,4.0,9.0,8.0,2.0,2.0,Self-learning,5.0,0.9
2.0,1.0,2.0,36.0,6.0,1.0,36.0,Research & innovation,1.0,0.92
5.0,4.0,2.0,19.0,1.0,2.0,29.0,None observed,4.0,0.76
1.0,4.0,2.0,35.0,2.0,2.0,11.0,Knowledge sharing,7.0,0.7
4.0,2.0,4.0,32.0,4.0,3.0,31.0,Research & innovation,7.0,0.65
2.0,5.0,1.0,17.0,10.0,3.0,19.0,Online courses / certifications,9.0,0.95
5.0,3.0,5.0,35.0,8.0,1.0,29.0,Research & innovation,7.0,0.81
1.0,2.0,3.0,22.0,9.0,5.0,38.0,Knowledge sharing,4.0,0.86
3.0,2.0,4.0,12.0,7.0,5.0,36.0,Formal training,6.0,0.74
3.0,3.0,4.0,26.0,6.0,5.0,23.0,On-the-job learning,9.0,0.86
5.0,1.0,2.0,7.0,10.0,3.0,24.0,On-the-job learning,1.0,0.89
3.0,3.0,2.0,8.0,9.0,2.0,39.0,On-the-job learning,3.0,0.86
4.0,1.0,3.0,10.0,2.0,2.0,21.0,On-the-job learning,4.0,0.83
3.0,2.0,2.0,20.0,0.0,1.0,19.0,None observed,7.0,0.75
5.0,4.0,4.0,25.0,10.0,3.0,19.0,Research & innovation,5.0,0.93
1.0,2.0,3.0,18.0,2.0,1.0,29.0,Online courses / certifications,5.0,0.78
2.0,3.0,4.0,38.0,3.0,2.0,20.0,Formal training,4.0,0.71
4.0,2.0,3.0,19.0,8.0,4.0,20.0,Online courses / certifications,2.0,0.59
3.0,5.0,1.0,37.0,4.0,2.0,31.0,None observed,10.0,0.39
4.0,4.0,1.0,40.0,10.0,3.0,12.0,Research & innovation,2.0,0.59
1.0,5.0,2.0,27.0,0.0,2.0,17.0,Formal training,4.0,0.73
3.0,4.0,1.0,23.0,4.0,1.0,21.0,Self-learning,6.0,0.54
4.0,1.0,4.0,8.0,8.0,2.0,25.0,Self-learning,7.0,0.88
1.0,5.0,1.0,36.0,0.0,1.0,7.0,Knowledge sharing,4.0,0.91
2.0,4.0,3.0,39.0,5.0,1.0,22.0,Knowledge sharing,9.0,0.85
3.0,1.0,2.0,31.0,0.0,3.0,7.0,Research & innovation,6.0,0.62
5.0,4.0,2.0,16.0,10.0,5.0,22.0,None observed,6.0,0.98
4.0,2.0,5.0,22.0,4.0,4.0,26.0,On-the-job learning,2.0,0.59
1.0,3.0,5.0,7.0,0.0,3.0,34.0,Formal training,6.0,0.55
3.0,3.0,4.0,33.0,0.0,2.0,11.0,Online courses / certifications,2.0,0.56
4.0,3.0,4.0,12.0,6.0,3.0,39.0,None observed,4.0,0.5
1.0,3.0,3.0,14.0,1.0,3.0,33.0,Self-learning,4.0,0.73
1.0,5.0,1.0,20.0,8.0,4.0,20.0,Formal training,1.0,0.71
2.0,5.0,1.0,30.0,1.0,1.0,12.0,Formal training,6.0,0.77
4.0,5.0,1.0,36.0,7.0,1.0,30.0,Formal training,4.0,0.74
1.0,4.0,5.0,23.0,3.0,4.0,24.0,Formal training,7.0,0.73
1.0,2.0,3.0,37.0,0.0,1.0,23.0,Formal training,10.0,0.92
3.0,1.0,5.0,14.0,10.0,3.0,23.0,Formal training,9.0,0.98
1.0,5.0,3.0,8.0,6.0,1.0,11.0,Online courses / certifications,9.0,0.39
4.0,4.0,2.0,24.0,8.0,3.0,12.0,Online courses / certifications,3.0,0.56
2.0,1.0,3.0,28.0,7.0,1.0,11.0,Formal training,2.0,0.49
2.0,5.0,3.0,28.0,9.0,3.0,4.0,Self-learning,8.0,0.68
4.0,4.0,2.0,31.0,6.0,2.0,27.0,Knowledge sharing,1.0,0.51
4.0,4.0,4.0,6.0,5.0,4.0,13.0,Self-learning,2.0,0.93
5.0,5.0,3.0,12.0,4.0,1.0,22.0,On-the-job learning,3.0,0.88
2.0,2.0,4.0,29.0,5.0,2.0,39.0,On-the-job learning,2.0,0.46
4.0,4.0,2.0,9.0,8.0,1.0,30.0,Knowledge sharing,7.0,0.6
1.0,1.0,5.0,16.0,1.0,5.0,10.0,Formal training,6.0,0.42
5.0,2.0,1.0,6.0,3.0,4.0,6.0,Research & innovation,4.0,0.83
3.0,5.0,5.0,32.0,1.0,1.0,5.0,Self-learning,1.0,0.52
5.0,4.0,4.0,24.0,9.0,4.0,34.0,Self-learning,4.0,0.73
3.0,5.0,3.0,19.0,3.0,4.0,15.0,Formal training,7.0,1.0
1.0,5.0,3.0,34.0,3.0,3.0,25.0,Formal training,6.0,0.78
5.0,3.0,4.0,37.0,5.0,4.0,35.0,Formal training,10.0,0.68
3.0,2.0,5.0,33.0,7.0,4.0,28.0,On-the-job learning,9.0,0.87
3.0,3.0,3.0,21.0,19.0,10.0,29.0,Online courses / certifications,10.0,0.45
1.0,3.0,4.0,19.0,10.0,2.0,26.0,Online courses / certifications,6.0,0.55
2.0,3.0,2.0,12.0,14.0,6.0,19.0,Formal training,6.0,0.73
4.0,3.0,1.0,4.0,10.0,6.0,37.0,Self-learning,10.0,0.49
5.0,1.0,1.0,22.0,8.0,3.0,27.0,Formal training,9.0,0.84
3.0,2.0,5.0,19.0,2.0,2.0,24.0,Knowledge sharing,5.0,0.4
1.0,1.0,3.0,16.0,9.0,5.0,23.0,Self-learning,10.0,0.58
4.0,1.0,3.0,10.0,6.0,5.0,25.0,On-the-job learning,10.0,0.8
2.0,5.0,1.0,13.0,2.0,3.0,14.0,Online courses / certifications,3.0,0.79
2.0,2.0,1.0,15.0,0.0,4.0,24.0,Research & innovation,9.0,0.94
2.0,3.0,4.0,13.0,18.0,4.0,24.0,None observed,7.0,0.85
2.0,2.0,1.0,22.0,6.0,3.0,40.0,Research & innovation,1.0,0.76
1.0,5.0,2.0,13.0,8.0,3.0,27.0,Formal training,6.0,0.65
4.0,3.0,2.0,2.0,20.0,2.0,32.0,Knowledge sharing,7.0,0.88
3.0,1.0,4.0,8.0,2.0,5.0,5.0,Self-learning,9.0,0.91
5.0,2.0,1.0,23.0,11.0,1.0,1.0,Online courses / certifications,1.0,0.6
3.0,1.0,2.0,3.0,0.0,2.0,38.0,Self-learning,3.0,0.84
2.0,2.0,4.0,3.0,13.0,5.0,30.0,Self-learning,6.0,0.8
2.0,4.0,3.0,10.0,0.0,5.0,19.0,None observed,1.0,0.8
5.0,5.0,4.0,16.0,10.0,2.0,35.0,None observed,7.0,0.91
2.0,5.0,2.0,11.0,5.0,5.0,22.0,Self-learning,3.0,0.5
2.0,3.0,5.0,3.0,11.0,1.0,8.0,None observed,5.0,0.88
2.0,1.0,5.0,24.0,5.0,3.0,40.0,On-the-job learning,3.0,0.9
2.0,4.0,1.0,23.0,2.0,3.0,34.0,Online courses / certifications,3.0,0.81
4.0,4.0,3.0,15.0,17.0,3.0,26.0,On-the-job learning,5.0,0.52
5.0,3.0,4.0,24.0,10.0,2.0,37.0,Knowledge sharing,6.0,0.76
1.0,1.0,2.0,6.0,10.0,5.0,39.0,Knowledge sharing,10.0,0.9
3.0,1.0,1.0,24.0,4.0,5.0,3.0,Formal training,5.0,0.92
5.0,1.0,2.0,21.0,1.0,1.0,39.0,On-the-job learning,4.0,0.65
5.0,4.0,1.0,13.0,16.0,4.0,33.0,Self-learning,2.0,0.61
2.0,3.0,5.0,23.0,13.0,5.0,21.0,Knowledge sharing,10.0,0.77
4.0,3.0,4.0,14.0,16.0,5.0,9.0,On-the-job learning,1.0,1.0
2.0,4.0,1.0,8.0,10.0,2.0,12.0,Knowledge sharing,1.0,0.52
2.0,5.0,2.0,9.0,2.0,2.0,25.0,On-the-job learning,1.0,0.56
2.0,3.0,2.0,19.0,4.0,1.0,3.0,On-the-job learning,9.0,0.86
3.0,2.0,5.0,13.0,11.0,2.0,24.0,Formal training,5.0,0.5
5.0,1.0,4.0,22.0,20.0,4.0,18.0,On-the-job learning,2.0,0.52
5.0,1.0,3.0,23.0,10.0,1.0,20.0,None observed,4.0,0.4
1.0,5.0,1.0,10.0,11.0,1.0,34.0,Online courses / certifications,9.0,0.4
5.0,4.0,3.0,7.0,18.0,1.0,40.0,Self-learning,7.0,0.73
2.0,3.0,2.0,22.0,3.0,3.0,5.0,Knowledge sharing,6.0,0.59
1.0,3.0,5.0,8.0,14.0,4.0,37.0,Knowledge sharing,10.0,0.43
3.0,1.0,4.0,19.0,3.0,4.0,8.0,On-the-job learning,6.0,0.74
2.0,1.0,4.0,12.0,9.0,1.0,10.0,Self-learning,3.0,0.9
1.0,1.0,5.0,1.0,2.0,1.0,4.0,Formal training,1.0,0.85
2.0,1.0,2.0,8.0,13.0,2.0,15.0,Knowledge sharing,3.0,0.56
3.0,2.0,1.0,20.0,5.0,5.0,28.0,Online courses / certifications,8.0,0.74
5.0,4.0,4.0,3.0,13.0,3.0,35.0,None observed,4.0,0.48
1.0,3.0,3.0,23.0,1.0,4.0,20.0,Formal training,2.0,0.78
2.0,5.0,3.0,17.0,10.0,2.0,22.0,Self-learning,1.0,0.7
3.0,5.0,1.0,12.0,13.0,3.0,17.0,None observed,5.0,0.92
1.0,4.0,1.0,21.0,10.0,1.0,24.0,Formal training,2.0,0.79
3.0,1.0,4.0,4.0,3.0,3.0,12.0,Research & innovation,9.0,0.67
4.0,3.0,3.0,12.0,9.0,2.0,35.0,Formal training,4.0,0.99
3.0,1.0,1.0,11.0,8.0,4.0,0.0,On-the-job learning,5.0,0.47
5.0,3.0,4.0,25.0,3.0,4.0,22.0,None observed,6.0,0.83
1.0,5.0,3.0,5.0,4.0,4.0,15.0,Research & innovation,6.0,0.67
5.0,2.0,5.0,18.0,7.0,5.0,3.0,On-the-job learning,1.0,0.73
3.0,5.0,1.0,11.0,4.0,1.0,23.0,Self-learning,8.0,0.57
1.0,5.0,5.0,25.0,15.0,3.0,0.0,Research & innovation,2.0,0.42
5.0,3.0,4.0,15.0,7.0,1.0,32.0,Self-learning,7.0,0.96
2.0,3.0,3.0,25.0,8.0,5.0,26.0,Self-learning,7.0,0.71
2.0,2.0,1.0,10.0,0.0,1.0,7.0,Online courses / certifications,6.0,0.95
5.0,5.0,3.0,25.0,9.0,4.0,10.0,Formal training,5.0,0.79
4.0,1.0,3.0,7.0,20.0,3.0,18.0,On-the-job learning,10.0,0.55
2.0,4.0,1.0,18.0,10.0,2.0,0.0,Knowledge sharing,5.0,0.98
5.0,2.0,2.0,16.0,16.0,3.0,12.0,Self-learning,6.0,0.51
5.0,3.0,4.0,19.0,17.0,1.0,22.0,Self-learning,2.0,0.71
2.0,3.0,1.0,23.0,15.0,5.0,13.0,Formal training,6.0,0.97
4.0,4.0,3.0,3.0,7.0,2.0,5.0,Self-learning,9.0,0.94
3.0,1.0,2.0,5.0,7.0,2.0,22.0,Knowledge sharing,5.0,0.5
3.0,3.0,4.0,24.0,1.0,2.0,11.0,Self-learning,8.0,0.67
2.0,5.0,3.0,12.0,12.0,3.0,35.0,Research & innovation,7.0,0.95
1.0,3.0,3.0,24.0,17.0,1.0,20.0,Online courses / certifications,2.0,0.96
3.0,3.0,5.0,3.0,13.0,4.0,31.0,On-the-job learning,4.0,0.92
2.0,4.0,3.0,8.0,14.0,4.0,35.0,On-the-job learning,10.0,0.67
2.0,1.0,4.0,17.0,4.0,2.0,31.0,Online courses / certifications,1.0,0.95
5.0,3.0,1.0,3.0,20.0,2.0,26.0,Online courses / certifications,1.0,0.48
1.0,5.0,1.0,16.0,0.0,4.0,19.0,Online courses / certifications,9.0,0.5
1.0,1.0,4.0,5.0,16.0,2.0,10.0,Knowledge sharing,10.0,0.55
4.0,1.0,3.0,19.0,19.0,4.0,3.0,None observed,8.0,0.45
4.0,2.0,1.0,3.0,5.0,1.0,19.0,Knowledge sharing,9.0,0.57
1.0,5.0,1.0,12.0,8.0,2.0,3.0,None observed,5.0,0.76
5.0,3.0,3.0,11.0,0.0,1.0,6.0,Knowledge sharing,7.0,0.68
5.0,3.0,3.0,11.0,14.0,2.0,13.0,None observed,2.0,0.42
4.0,1.0,4.0,16.0,2.0,2.0,21.0,On-the-job learning,2.0,0.6
5.0,5.0,3.0,2.0,11.0,1.0,9.0,None observed,6.0,0.73
1.0,5.0,3.0,1.0,17.0,4.0,35.0,None observed,1.0,0.96
1.0,3.0,3.0,18.0,2.0,4.0,25.0,On-the-job learning,5.0,0.69
2.0,1.0,5.0,11.0,17.0,3.0,26.0,None observed,7.0,0.7
3.0,4.0,5.0,10.0,20.0,4.0,2.0,None observed,10.0,0.59
1.0,3.0,5.0,18.0,18.0,5.0,15.0,None observed,10.0,0.88
1.0,5.0,4.0,5.0,10.0,5.0,30.0,Self-learning,8.0,0.7
4.0,4.0,2.0,12.0,1.0,1.0,32.0,On-the-job learning,9.0,0.5
2.0,2.0,4.0,18.0,9.0,5.0,17.0,Formal training,9.0,0.78
2.0,1.0,2.0,20.0,5.0,2.0,14.0,Online courses / certifications,10.0,0.7
5.0,2.0,2.0,20.0,18.0,2.0,24.0,Self-learning,5.0,0.45
4.0,1.0,5.0,10.0,2.0,4.0,22.0,Formal training,4.0,0.61
4.0,1.0,3.0,24.0,7.0,2.0,28.0,On-the-job learning,7.0,0.91
3.0,2.0,1.0,3.0,9.0,5.0,36.0,Research & innovation,4.0,0.65
2.0,3.0,2.0,12.0,12.0,3.0,25.0,None observed,2.0,0.62
5.0,1.0,1.0,1.0,5.0,1.0,40.0,On-the-job learning,2.0,0.6
5.0,2.0,5.0,18.0,2.0,2.0,24.0,Knowledge sharing,7.0,0.39
5.0,5.0,2.0,21.0,17.0,3.0,10.0,Research & innovation,9.0,0.38
3.0,2.0,5.0,6.0,11.0,3.0,12.0,None observed,8.0,0.83
3.0,4.0,5.0,2.0,17.0,4.0,34.0,None observed,3.0,0.44
5.0,1.0,5.0,2.0,11.0,2.0,28.0,Research & innovation,8.0,0.8
4.0,2.0,2.0,11.0,20.0,3.0,1.0,On-the-job learning,9.0,0.62
5.0,3.0,5.0,12.0,20.0,2.0,23.0,Research & innovation,7.0,0.55
5.0,4.0,5.0,8.0,18.0,1.0,32.0,Formal training,1.0,0.42
3.0,5.0,3.0,23.0,6.0,2.0,26.0,Online courses / certifications,10.0,0.95
4.0,1.0,1.0,25.0,9.0,5.0,2.0,Self-learning,8.0,0.52
3.0,3.0,2.0,9.0,20.0,2.0,20.0,Self-learning,2.0,0.93
4.0,2.0,1.0,23.0,20.0,5.0,23.0,Knowledge sharing,1.0,0.64
3.0,2.0,5.0,9.0,9.0,3.0,21.0,Online courses / certifications,1.0,0.9
1.0,3.0,4.0,12.0,12.0,4.0,26.0,Knowledge sharing,3.0,0.47
4.0,2.0,2.0,14.0,13.0,5.0,33.0,Formal training,7.0,0.85
4.0,5.0,2.0,25.0,19.0,1.0,6.0,Knowledge sharing,9.0,0.69
2.0,5.0,5.0,18.0,14.0,3.0,13.0,Self-learning,3.0,0.79
2.0,5.0,2.0,12.0,8.0,5.0,5.0,Research & innovation,1.0,0.78
2.0,4.0,1.0,6.0,9.0,4.0,20.0,On-the-job learning,2.0,0.7
