Productivity,Communication,Leadership,Learning,Collaboration,Productivity_Level,Communication_Level,Leadership_Level,Learning_Level,Collaboration_Level,Overall_Behavior_Score,Overall_Behavior_Level
80.0,100.0,35.0,60.0,67.5,High,High,Low,Moderate,Moderate,68.5,Moderate
60.0,70.0,42.5,78.75,47.0,Moderate,High,Moderate,High,Moderate,59.65,Moderate
50.0,48.75,12.5,63.75,54.0,Moderate,Moderate,Low,Moderate,Moderate,45.8,Moderate
60.0,57.5,17.5,76.25,33.5,Moderate,Moderate,Low,High,Low,48.95,Moderate
40.0,23.75,30.0,83.75,74.5,Moderate,Low,Low,High,High,50.4,Moderate
40.0,51.25,55.0,77.5,60.5,Moderate,Moderate,Moderate,High,Moderate,56.85,Moderate
70.0,57.5,50.0,55.0,77.0,High,Moderate,Moderate,Moderate,High,61.9,Moderate
80.0,53.75,30.0,67.5,89.5,High,Moderate,Low,Moderate,High,64.15,Moderate
20.0,60.0,42.5,57.5,57.5,Low,Moderate,Moderate,Moderate,Moderate,47.5,Moderate
100.0,56.25,30.0,48.75,47.0,High,Moderate,Low,Moderate,Moderate,56.4,Moderate
70.0,41.25,50.0,61.25,37.5,High,Moderate,Moderate,Moderate,Low,52.0,Moderate
70.0,63.75,27.5,78.75,75.0,High,Moderate,Low,High,High,63.0,Moderate
60.0,58.75,10.0,18.75,51.0,Moderate,Moderate,Low,Low,Moderate,39.7,Low
20.0,60.0,32.5,62.5,42.0,Low,Moderate,Low,Moderate,Moderate,43.4,Moderate
50.0,60.0,75.0,56.25,40.0,Moderate,Moderate,High,Moderate,Moderate,56.25,Moderate
50.0,63.75,57.5,67.5,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,58.75,Moderate
40.0,65.0,42.5,77.5,64.0,Moderate,Moderate,Moderate,High,Moderate,57.8,Moderate
80.0,47.5,42.5,71.25,96.0,High,Moderate,Moderate,High,High,67.45,Moderate
40.0,40.0,60.0,100.0,66.0,Moderate,Moderate,Moderate,High,Moderate,61.2,Moderate
60.0,83.75,45.0,85.0,60.0,Moderate,High,Moderate,High,Moderate,66.75,Moderate
50.0,56.25,60.0,86.25,41.0,Moderate,Moderate,Moderate,High,Moderate,58.7,Moderate
40.0,65.0,52.5,42.5,47.5,Moderate,Moderate,Moderate,Moderate,Moderate,49.5,Moderate
60.0,53.75,42.5,65.0,71.0,Moderate,Moderate,Moderate,Moderate,High,58.45,Moderate
50.0,36.25,37.5,8.75,46.0,Moderate,Low,Low,Low,Moderate,35.7,Low
60.0,47.5,37.5,77.5,48.0,Moderate,Moderate,Low,High,Moderate,54.1,Moderate
80.0,75.0,45.0,37.5,47.5,High,High,Moderate,Low,Moderate,57.0,Moderate
70.0,57.5,25.0,80.0,82.0,High,Moderate,Low,High,High,62.9,Moderate
60.0,81.25,35.0,61.25,55.0,Moderate,High,Low,Moderate,Moderate,58.5,Moderate
30.0,57.5,60.0,57.5,88.5,Low,Moderate,Moderate,Moderate,High,58.7,Moderate
80.0,70.0,55.0,58.75,69.5,High,High,Moderate,Moderate,Moderate,66.65,Moderate
100.0,36.25,17.5,63.75,51.5,High,Low,Low,Moderate,Moderate,53.8,Moderate
50.0,100.0,30.0,57.5,55.5,Moderate,High,Low,Moderate,Moderate,58.6,Moderate
30.0,61.25,17.5,82.5,75.0,Low,Moderate,Low,High,High,53.25,Moderate
30.0,47.5,52.5,70.0,75.5,Low,Moderate,Moderate,High,High,55.1,Moderate
70.0,80.0,22.5,78.75,78.5,High,High,Low,High,High,65.95,Moderate
90.0,60.0,40.0,75.0,48.5,High,Moderate,Moderate,High,Moderate,62.7,Moderate
70.0,33.75,52.5,40.0,85.0,High,Low,Moderate,Moderate,High,56.25,Moderate
70.0,47.5,20.0,71.25,56.0,High,Moderate,Low,High,Moderate,52.95,Moderate
40.0,32.5,12.5,66.25,26.0,Moderate,Low,Low,Moderate,Low,35.45,Low
80.0,86.25,47.5,77.5,81.5,High,High,Moderate,High,High,74.55,High
80.0,76.25,70.0,65.0,25.0,High,High,High,Moderate,Low,63.25,Moderate
80.0,67.5,72.5,20.0,76.5,High,Moderate,High,Low,High,63.3,Moderate
90.0,98.75,30.0,88.75,56.0,High,High,Low,High,Moderate,72.7,High
40.0,31.25,27.5,60.0,66.5,Moderate,Low,Low,Moderate,Moderate,45.05,Moderate
60.0,92.5,57.5,45.0,46.0,Moderate,High,Moderate,Moderate,Moderate,60.2,Moderate
60.0,92.5,52.5,5.0,61.5,Moderate,High,Moderate,Low,Moderate,54.3,Moderate
40.0,95.0,55.0,65.0,29.0,Moderate,High,Moderate,Moderate,Low,56.8,Moderate
70.0,98.75,52.5,80.0,80.0,High,High,Moderate,High,High,76.25,High
90.0,18.75,17.5,75.0,69.0,High,Low,Low,High,Moderate,54.05,Moderate
70.0,28.75,20.0,52.5,86.5,High,Low,Low,Moderate,High,51.55,Moderate
20.0,92.5,42.5,68.75,65.0,Low,High,Moderate,Moderate,Moderate,57.75,Moderate
80.0,56.25,32.5,68.75,67.0,High,Moderate,Low,Moderate,Moderate,60.9,Moderate
50.0,61.25,27.5,77.5,36.0,Moderate,Moderate,Low,High,Low,50.45,Moderate
80.0,88.75,35.0,57.5,40.0,High,High,Low,Moderate,Moderate,60.25,Moderate
30.0,62.5,55.0,68.75,57.5,Low,Moderate,Moderate,Moderate,Moderate,54.75,Moderate
60.0,37.5,50.0,38.75,70.0,Moderate,Low,Moderate,Low,High,51.25,Moderate
90.0,35.0,20.0,68.75,71.0,High,Low,Low,Moderate,High,56.95,Moderate
70.0,21.25,40.0,60.0,46.5,High,Low,Moderate,Moderate,Moderate,47.55,Moderate
60.0,50.0,40.0,51.25,85.5,Moderate,Moderate,Moderate,Moderate,High,57.35,Moderate
80.0,51.25,40.0,32.5,70.0,High,Moderate,Moderate,Low,High,54.75,Moderate
30.0,65.0,25.0,95.0,51.0,Low,Moderate,Low,High,Moderate,53.2,Moderate
90.0,43.75,22.5,36.25,58.0,High,Moderate,Low,Low,Moderate,50.1,Moderate
50.0,63.75,25.0,48.75,70.0,Moderate,Moderate,Low,Moderate,High,51.5,Moderate
60.0,80.0,40.0,88.75,67.5,Moderate,High,Moderate,High,Moderate,67.25,Moderate
70.0,31.25,55.0,68.75,92.5,High,Low,Moderate,Moderate,High,63.5,Moderate
80.0,93.75,30.0,86.25,75.5,High,High,Low,High,High,73.1,High
30.0,57.5,72.5,82.5,63.0,Low,Moderate,High,High,Moderate,61.1,Moderate
50.0,55.0,67.5,87.5,67.0,Moderate,Moderate,Moderate,High,Moderate,65.4,Moderate
60.0,72.5,65.0,66.25,88.0,Moderate,High,Moderate,Moderate,High,70.35,High
60.0,28.75,55.0,67.5,49.5,Moderate,Low,Moderate,Moderate,Moderate,52.15,Moderate
60.0,30.0,42.5,86.25,58.0,Moderate,Low,Moderate,High,Moderate,55.35,Moderate
50.0,42.5,25.0,63.75,61.5,Moderate,Moderate,Low,Moderate,Moderate,48.55,Moderate
50.0,45.0,10.0,23.75,72.5,Moderate,Moderate,Low,Low,High,40.25,Moderate
90.0,71.25,55.0,73.75,71.5,High,High,Moderate,High,High,72.3,High
30.0,52.5,15.0,81.25,64.0,Low,Moderate,Low,High,Moderate,48.55,Moderate
50.0,87.5,27.5,67.5,55.5,Moderate,High,Low,Moderate,Moderate,57.6,Moderate
60.0,53.75,60.0,70.0,39.5,Moderate,Moderate,Moderate,High,Low,56.65,Moderate
80.0,56.25,30.0,38.75,69.5,High,Moderate,Low,Low,Moderate,54.9,Moderate
80.0,60.0,55.0,65.0,39.5,High,Moderate,Moderate,Moderate,Low,59.9,Moderate
60.0,53.75,20.0,63.75,56.5,Moderate,Moderate,Low,Moderate,Moderate,50.8,Moderate
70.0,38.75,20.0,56.25,57.0,High,Low,Low,Moderate,Moderate,48.4,Moderate
50.0,50.0,40.0,61.25,79.0,Moderate,Moderate,Moderate,Moderate,High,56.05,Moderate
60.0,55.0,10.0,43.75,65.5,Moderate,Moderate,Low,Moderate,Moderate,46.85,Moderate
60.0,78.75,22.5,62.5,87.5,Moderate,High,Low,Moderate,High,62.25,Moderate
40.0,58.75,30.0,58.75,61.0,Moderate,Moderate,Low,Moderate,Moderate,49.7,Moderate
90.0,40.0,75.0,27.5,79.0,High,Moderate,High,Low,High,62.3,Moderate
60.0,77.5,50.0,70.0,39.5,Moderate,High,Moderate,High,Low,59.4,Moderate
40.0,58.75,30.0,85.0,57.5,Moderate,Moderate,Low,High,Moderate,54.25,Moderate
60.0,81.25,20.0,58.75,38.0,Moderate,High,Low,Moderate,Low,51.6,Moderate
70.0,55.0,45.0,48.75,45.0,High,Moderate,Moderate,Moderate,Moderate,52.75,Moderate
40.0,47.5,32.5,71.25,56.5,Moderate,Moderate,Low,High,Moderate,49.55,Moderate
60.0,35.0,60.0,67.5,40.5,Moderate,Low,Moderate,Moderate,Moderate,52.6,Moderate
70.0,47.5,12.5,57.5,68.5,High,Moderate,Low,Moderate,Moderate,51.2,Moderate
90.0,55.0,27.5,80.0,57.0,High,Moderate,Low,High,Moderate,61.9,Moderate
50.0,78.75,47.5,72.5,71.5,Moderate,High,Moderate,High,High,64.05,Moderate
30.0,76.25,10.0,71.25,96.0,Low,High,Low,High,High,56.7,Moderate
40.0,67.5,55.0,71.25,94.0,Moderate,Moderate,Moderate,High,High,65.55,Moderate
60.0,40.0,25.0,58.75,64.5,Moderate,Moderate,Low,Moderate,Moderate,49.65,Moderate
80.0,50.0,50.0,60.0,43.0,High,Moderate,Moderate,Moderate,Moderate,56.6,Moderate
30.0,65.0,27.5,56.25,34.5,Low,Moderate,Low,Moderate,Low,42.65,Moderate
70.0,65.0,52.5,35.0,74.0,High,Moderate,Moderate,Low,High,59.3,Moderate
80.0,58.75,35.0,68.75,30.5,High,Moderate,Low,Moderate,Low,54.6,Moderate
80.0,47.5,52.5,46.25,56.5,High,Moderate,Moderate,Moderate,Moderate,56.55,Moderate
100.0,45.0,20.0,65.0,59.0,High,Moderate,Low,Moderate,Moderate,57.8,Moderate
40.0,76.25,32.5,86.25,33.0,Moderate,High,Low,High,Low,53.6,Moderate
80.0,31.25,30.0,72.5,65.0,High,Low,Low,High,Moderate,55.75,Moderate
20.0,70.0,52.5,55.0,51.0,Low,High,Moderate,Moderate,Moderate,49.7,Moderate
70.0,17.5,47.5,57.5,61.5,High,Low,Moderate,Moderate,Moderate,50.8,Moderate
80.0,90.0,12.5,36.25,31.0,High,High,Low,Low,Low,49.95,Moderate
90.0,70.0,62.5,72.5,56.5,High,High,Moderate,High,Moderate,70.3,High
80.0,53.75,47.5,61.25,85.0,High,Moderate,Moderate,Moderate,High,65.5,Moderate
60.0,72.5,37.5,73.75,69.0,Moderate,High,Low,High,Moderate,62.55,Moderate
80.0,86.25,52.5,86.25,84.0,High,High,Moderate,High,High,77.8,High
50.0,91.25,57.5,72.5,88.5,Moderate,High,Moderate,High,High,71.95,High
60.0,56.25,147.5,81.25,72.5,Moderate,Moderate,High,High,High,83.5,High
40.0,63.75,45.0,77.5,57.5,Moderate,Moderate,Moderate,High,Moderate,56.75,Moderate
50.0,35.0,95.0,66.25,66.5,Moderate,Low,High,Moderate,Moderate,62.55,Moderate
70.0,15.0,85.0,76.25,74.5,High,Low,High,High,High,64.15,Moderate
60.0,37.5,50.0,76.25,87.0,Moderate,Low,Moderate,High,High,62.15,Moderate
50.0,73.75,25.0,65.0,45.0,Moderate,High,Low,Moderate,Moderate,51.75,Moderate
20.0,50.0,72.5,58.75,79.0,Low,Moderate,High,Moderate,High,56.05,Moderate
50.0,42.5,65.0,68.75,90.0,Moderate,Moderate,Moderate,Moderate,High,63.25,Moderate
70.0,26.25,35.0,62.5,54.5,High,Low,Low,Moderate,Moderate,49.65,Moderate
40.0,28.75,40.0,80.0,92.0,Moderate,Low,Moderate,High,High,56.15,Moderate
50.0,56.25,85.0,30.0,77.5,Moderate,Moderate,High,Low,High,59.75,Moderate
40.0,37.5,45.0,100.0,43.0,Moderate,Low,Moderate,High,Moderate,53.1,Moderate
60.0,36.25,50.0,76.25,62.5,Moderate,Low,Moderate,High,Moderate,57.0,Moderate
70.0,22.5,70.0,75.0,79.0,High,Low,High,High,High,63.3,Moderate
40.0,50.0,55.0,36.25,90.5,Moderate,Moderate,Moderate,Low,High,54.35,Moderate
70.0,38.75,37.5,46.25,35.0,High,Low,Low,Moderate,Low,45.5,Moderate
40.0,23.75,20.0,77.5,57.0,Moderate,Low,Low,High,Moderate,43.65,Moderate
40.0,43.75,82.5,67.5,70.0,Moderate,Moderate,High,Moderate,High,60.75,Moderate
60.0,42.5,50.0,23.75,45.0,Moderate,Moderate,Moderate,Low,Moderate,44.25,Moderate
100.0,60.0,45.0,43.75,80.5,High,Moderate,Moderate,Moderate,High,65.85,Moderate
70.0,33.75,62.5,57.5,40.0,High,Low,Moderate,Moderate,Moderate,52.75,Moderate
50.0,53.75,37.5,10.0,69.0,Moderate,Moderate,Low,Low,Moderate,44.05,Moderate
30.0,80.0,42.5,87.5,60.0,Low,High,Moderate,High,Moderate,60.0,Moderate
60.0,38.75,35.0,87.5,55.5,Moderate,Low,Low,High,Moderate,55.35,Moderate
80.0,48.75,72.5,70.0,51.0,High,Moderate,High,High,Moderate,64.45,Moderate
80.0,70.0,45.0,81.25,68.0,High,High,Moderate,High,Moderate,68.85,Moderate
20.0,27.5,75.0,83.75,95.0,Low,Low,High,High,High,60.25,Moderate
40.0,40.0,60.0,46.25,71.0,Moderate,Moderate,Moderate,Moderate,High,51.45,Moderate
60.0,46.25,12.5,86.25,52.5,Moderate,Moderate,Low,High,Moderate,51.5,Moderate
90.0,26.25,80.0,71.25,40.5,High,Low,High,High,Moderate,61.6,Moderate
50.0,78.75,82.5,61.25,88.5,Moderate,High,High,Moderate,High,72.2,High
70.0,57.5,90.0,48.75,55.0,High,Moderate,High,Moderate,Moderate,64.25,Moderate
60.0,20.0,45.0,50.0,31.0,Moderate,Low,Moderate,Moderate,Low,41.2,Moderate
70.0,31.25,25.0,68.75,33.0,High,Low,Low,Moderate,Low,45.6,Moderate
50.0,43.75,20.0,41.25,88.0,Moderate,Moderate,Low,Moderate,High,48.6,Moderate
50.0,66.25,47.5,72.5,50.0,Moderate,Moderate,Moderate,High,Moderate,57.25,Moderate
60.0,67.5,90.0,60.0,36.0,Moderate,Moderate,High,Moderate,Low,62.7,Moderate
60.0,58.75,35.0,25.0,40.0,Moderate,Moderate,Low,Low,Moderate,43.75,Moderate
60.0,22.5,37.5,87.5,65.0,Moderate,Low,Low,High,Moderate,54.5,Moderate
90.0,38.75,55.0,80.0,71.5,High,Low,Moderate,High,High,67.05,Moderate
50.0,47.5,37.5,41.25,59.5,Moderate,Moderate,Low,Moderate,Moderate,47.15,Moderate
40.0,60.0,75.0,81.25,71.5,Moderate,Moderate,High,High,High,65.55,Moderate
40.0,63.75,47.5,47.5,67.0,Moderate,Moderate,Moderate,Moderate,Moderate,53.15,Moderate
30.0,55.0,32.5,42.5,60.0,Low,Moderate,Low,Moderate,Moderate,44.0,Moderate
20.0,51.25,15.0,47.5,47.5,Low,Moderate,Low,Moderate,Moderate,36.25,Low
30.0,30.0,52.5,53.75,43.0,Low,Low,Moderate,Moderate,Moderate,41.85,Moderate
50.0,35.0,62.5,80.0,77.0,Moderate,Low,Moderate,High,High,60.9,Moderate
90.0,43.75,62.5,43.75,44.0,High,Moderate,Moderate,Moderate,Moderate,56.8,Moderate
40.0,58.75,42.5,67.5,49.0,Moderate,Moderate,Moderate,Moderate,Moderate,51.55,Moderate
70.0,51.25,45.0,57.5,40.0,High,Moderate,Moderate,Moderate,Moderate,52.75,Moderate
80.0,25.0,62.5,21.25,71.0,High,Low,Moderate,Low,High,51.95,Moderate
50.0,36.25,35.0,72.5,49.5,Moderate,Low,Low,High,Moderate,48.65,Moderate
40.0,45.0,37.5,65.0,78.5,Moderate,Moderate,Low,Moderate,High,53.2,Moderate
70.0,45.0,42.5,86.25,69.5,High,Moderate,Moderate,High,Moderate,62.65,Moderate
40.0,23.75,60.0,37.5,48.5,Moderate,Low,Moderate,Low,Moderate,41.95,Moderate
80.0,71.25,47.5,27.5,71.5,High,High,Moderate,Low,High,59.55,Moderate
60.0,36.25,50.0,68.75,63.5,Moderate,Low,Moderate,Moderate,Moderate,55.7,Moderate
70.0,72.5,67.5,41.25,41.5,High,High,Moderate,Moderate,Moderate,58.55,Moderate
80.0,23.75,20.0,58.75,68.5,High,Low,Low,Moderate,Moderate,50.2,Moderate
60.0,81.25,67.5,50.0,31.0,Moderate,High,Moderate,Moderate,Low,57.95,Moderate
80.0,58.75,27.5,70.0,83.0,High,Moderate,Low,High,High,63.85,Moderate
50.0,61.25,70.0,62.5,70.5,Moderate,Moderate,High,Moderate,High,62.85,Moderate
40.0,22.5,10.0,53.75,77.5,Moderate,Low,Low,Moderate,High,40.75,Moderate
100.0,61.25,62.5,55.0,64.5,High,Moderate,Moderate,Moderate,Moderate,68.65,Moderate
50.0,38.75,80.0,60.0,77.5,Moderate,Low,High,Moderate,High,61.25,Moderate
60.0,32.5,45.0,35.0,74.0,Moderate,Low,Moderate,Low,High,49.3,Moderate
70.0,40.0,70.0,45.0,55.5,High,Moderate,High,Moderate,Moderate,56.1,Moderate
80.0,63.75,52.5,57.5,45.5,High,Moderate,Moderate,Moderate,Moderate,59.85,Moderate
50.0,38.75,87.5,58.75,78.5,Moderate,Low,High,Moderate,High,62.7,Moderate
80.0,33.75,37.5,36.25,92.0,High,Low,Low,Low,High,55.9,Moderate
40.0,26.25,37.5,62.5,50.0,Moderate,Low,Low,Moderate,Moderate,43.25,Moderate
60.0,70.0,22.5,43.75,73.5,Moderate,High,Low,Moderate,High,53.95,Moderate
70.0,45.0,60.0,93.75,82.5,High,Moderate,Moderate,High,High,70.25,High
40.0,60.0,52.5,70.0,58.0,Moderate,Moderate,Moderate,High,Moderate,56.1,Moderate
60.0,53.75,72.5,76.25,66.0,Moderate,Moderate,High,High,Moderate,65.7,Moderate
60.0,40.0,75.0,81.25,83.5,Moderate,Moderate,High,High,High,67.95,Moderate
30.0,61.25,30.0,83.75,52.5,Low,Moderate,Low,High,Moderate,51.5,Moderate
80.0,13.75,70.0,77.5,29.0,High,Low,High,High,Low,54.05,Moderate
60.0,30.0,40.0,68.75,70.0,Moderate,Low,Moderate,Moderate,High,53.75,Moderate
20.0,46.25,60.0,47.5,77.5,Low,Moderate,Moderate,Moderate,High,50.25,Moderate
50.0,53.75,87.5,3.75,62.5,Moderate,Moderate,High,Low,Moderate,51.5,Moderate
60.0,13.75,22.5,58.75,73.5,Moderate,Low,Low,Moderate,High,45.7,Moderate
60.0,25.0,40.0,3.75,63.0,Moderate,Low,Moderate,Low,Moderate,38.35,Low
80.0,43.75,10.0,42.5,69.0,High,Moderate,Low,Moderate,Moderate,49.05,Moderate
80.0,43.75,55.0,16.25,31.0,High,Moderate,Moderate,Low,Low,45.2,Moderate
50.0,60.0,25.0,63.75,40.0,Moderate,Moderate,Low,Moderate,Moderate,47.75,Moderate
100.0,32.5,37.5,11.25,66.5,High,Low,Low,Low,Moderate,49.55,Moderate
60.0,31.25,82.5,43.75,53.0,Moderate,Low,High,Moderate,Moderate,54.1,Moderate
40.0,52.5,45.0,68.75,59.5,Moderate,Moderate,Moderate,Moderate,Moderate,53.15,Moderate
30.0,63.75,72.5,32.5,70.0,Low,Moderate,High,Low,High,53.75,Moderate
70.0,62.5,90.0,2.5,79.5,High,Moderate,High,Low,High,60.9,Moderate
40.0,72.5,95.0,18.75,94.0,Moderate,High,High,Low,High,64.05,Moderate
