Productivity,Communication,Leadership,Learning,Collaboration
70.0,70.0,57.5,5.0,76.0
20.0,47.5,20.0,5.0,86.0
70.0,32.5,47.5,76.25,83.0
60.0,61.25,47.5,57.5,85.0
50.0,87.5,57.5,41.25,43.5
90.0,47.5,42.5,91.25,40.0
70.0,53.75,57.5,46.25,53.0
70.0,58.75,55.0,82.5,38.5
50.0,65.0,12.5,78.75,78.0
90.0,43.75,32.5,75.0,43.0
60.0,72.5,50.0,86.25,72.0
70.0,63.75,35.0,75.0,66.5
50.0,83.75,72.5,75.0,97.5
40.0,66.25,55.0,91.25,38.0
80.0,100.0,35.0,60.0,67.5
60.0,70.0,42.5,78.75,47.0
50.0,48.75,12.5,63.75,54.0
60.0,57.5,17.5,76.25,33.5
40.0,23.75,30.0,83.75,74.5
40.0,51.25,55.0,77.5,60.5
70.0,57.5,50.0,55.0,77.0
80.0,53.75,30.0,67.5,89.5
20.0,60.0,42.5,57.5,57.5
100.0,56.25,30.0,48.75,47.0
70.0,41.25,50.0,61.25,37.5
70.0,63.75,27.5,78.75,75.0
60.0,58.75,10.0,18.75,51.0
20.0,60.0,32.5,62.5,42.0
50.0,60.0,75.0,56.25,40.0
50.0,63.75,57.5,67.5,55.0
40.0,65.0,42.5,77.5,64.0
80.0,47.5,42.5,71.25,96.0
40.0,40.0,60.0,100.0,66.0
60.0,83.75,45.0,85.0,60.0
50.0,56.25,60.0,86.25,41.0
40.0,65.0,52.5,42.5,47.5
60.0,53.75,42.5,65.0,71.0
50.0,36.25,37.5,8.75,46.0
60.0,47.5,37.5,77.5,48.0
80.0,75.0,45.0,37.5,47.5
70.0,57.5,25.0,80.0,82.0
60.0,81.25,35.0,61.25,55.0
30.0,57.5,60.0,57.5,88.5
80.0,70.0,55.0,58.75,69.5
100.0,36.25,17.5,63.75,51.5
50.0,100.0,30.0,57.5,55.5
30.0,61.25,17.5,82.5,75.0
30.0,47.5,52.5,70.0,75.5
70.0,80.0,22.5,78.75,78.5
90.0,60.0,40.0,75.0,48.5
70.0,33.75,52.5,40.0,85.0
70.0,47.5,20.0,71.25,56.0
40.0,32.5,12.5,66.25,26.0
80.0,86.25,47.5,77.5,81.5
80.0,76.25,70.0,65.0,25.0
80.0,67.5,72.5,20.0,76.5
90.0,98.75,30.0,88.75,56.0
40.0,31.25,27.5,60.0,66.5
60.0,92.5,57.5,45.0,46.0
60.0,92.5,52.5,5.0,61.5
40.0,95.0,55.0,65.0,29.0
70.0,98.75,52.5,80.0,80.0
90.0,18.75,17.5,75.0,69.0
70.0,28.75,20.0,52.5,86.5
20.0,92.5,42.5,68.75,65.0
80.0,56.25,32.5,68.75,67.0
50.0,61.25,27.5,77.5,36.0
80.0,88.75,35.0,57.5,40.0
30.0,62.5,55.0,68.75,57.5
60.0,37.5,50.0,38.75,70.0
90.0,35.0,20.0,68.75,71.0
70.0,21.25,40.0,60.0,46.5
60.0,50.0,40.0,51.25,85.5
80.0,51.25,40.0,32.5,70.0
30.0,65.0,25.0,95.0,51.0
90.0,43.75,22.5,36.25,58.0
50.0,63.75,25.0,48.75,70.0
60.0,80.0,40.0,88.75,67.5
70.0,31.25,55.0,68.75,92.5
80.0,93.75,30.0,86.25,75.5
30.0,57.5,72.5,82.5,63.0
50.0,55.0,67.5,87.5,67.0
60.0,72.5,65.0,66.25,88.0
60.0,28.75,55.0,67.5,49.5
60.0,30.0,42.5,86.25,58.0
50.0,42.5,25.0,63.75,61.5
50.0,45.0,10.0,23.75,72.5
90.0,71.25,55.0,73.75,71.5
30.0,52.5,15.0,81.25,64.0
50.0,87.5,27.5,67.5,55.5
60.0,53.75,60.0,70.0,39.5
80.0,56.25,30.0,38.75,69.5
80.0,60.0,55.0,65.0,39.5
60.0,53.75,20.0,63.75,56.5
70.0,38.75,20.0,56.25,57.0
50.0,50.0,40.0,61.25,79.0
60.0,55.0,10.0,43.75,65.5
60.0,78.75,22.5,62.5,87.5
40.0,58.75,30.0,58.75,61.0
90.0,40.0,75.0,27.5,79.0
60.0,77.5,50.0,70.0,39.5
40.0,58.75,30.0,85.0,57.5
60.0,81.25,20.0,58.75,38.0
70.0,55.0,45.0,48.75,45.0
40.0,47.5,32.5,71.25,56.5
60.0,35.0,60.0,67.5,40.5
70.0,47.5,12.5,57.5,68.5
90.0,55.0,27.5,80.0,57.0
50.0,78.75,47.5,72.5,71.5
30.0,76.25,10.0,71.25,96.0
40.0,67.5,55.0,71.25,94.0
60.0,40.0,25.0,58.75,64.5
80.0,50.0,50.0,60.0,43.0
30.0,65.0,27.5,56.25,34.5
70.0,65.0,52.5,35.0,74.0
80.0,58.75,35.0,68.75,30.5
80.0,47.5,52.5,46.25,56.5
100.0,45.0,20.0,65.0,59.0
40.0,76.25,32.5,86.25,33.0
80.0,31.25,30.0,72.5,65.0
20.0,70.0,52.5,55.0,51.0
70.0,17.5,47.5,57.5,61.5
80.0,90.0,12.5,36.25,31.0
90.0,70.0,62.5,72.5,56.5
80.0,53.75,47.5,61.25,85.0
60.0,72.5,37.5,73.75,69.0
80.0,86.25,52.5,86.25,84.0
50.0,91.25,57.5,72.5,88.5
60.0,56.25,147.5,81.25,72.5
40.0,63.75,45.0,77.5,57.5
50.0,35.0,95.0,66.25,66.5
70.0,15.0,85.0,76.25,74.5
60.0,37.5,50.0,76.25,87.0
50.0,73.75,25.0,65.0,45.0
20.0,50.0,72.5,58.75,79.0
50.0,42.5,65.0,68.75,90.0
70.0,26.25,35.0,62.5,54.5
40.0,28.75,40.0,80.0,92.0
50.0,56.25,85.0,30.0,77.5
40.0,37.5,45.0,100.0,43.0
60.0,36.25,50.0,76.25,62.5
70.0,22.5,70.0,75.0,79.0
40.0,50.0,55.0,36.25,90.5
70.0,38.75,37.5,46.25,35.0
40.0,23.75,20.0,77.5,57.0
40.0,43.75,82.5,67.5,70.0
60.0,42.5,50.0,23.75,45.0
100.0,60.0,45.0,43.75,80.5
70.0,33.75,62.5,57.5,40.0
50.0,53.75,37.5,10.0,69.0
30.0,80.0,42.5,87.5,60.0
60.0,38.75,35.0,87.5,55.5
80.0,48.75,72.5,70.0,51.0
80.0,70.0,45.0,81.25,68.0
20.0,27.5,75.0,83.75,95.0
40.0,40.0,60.0,46.25,71.0
60.0,46.25,12.5,86.25,52.5
90.0,26.25,80.0,71.25,40.5
50.0,78.75,82.5,61.25,88.5
70.0,57.5,90.0,48.75,55.0
60.0,20.0,45.0,50.0,31.0
70.0,31.25,25.0,68.75,33.0
50.0,43.75,20.0,41.25,88.0
50.0,66.25,47.5,72.5,50.0
60.0,67.5,90.0,60.0,36.0
60.0,58.75,35.0,25.0,40.0
60.0,22.5,37.5,87.5,65.0
90.0,38.75,55.0,80.0,71.5
50.0,47.5,37.5,41.25,59.5
40.0,60.0,75.0,81.25,71.5
40.0,63.75,47.5,47.5,67.0
30.0,55.0,32.5,42.5,60.0
20.0,51.25,15.0,47.5,47.5
30.0,30.0,52.5,53.75,43.0
50.0,35.0,62.5,80.0,77.0
90.0,43.75,62.5,43.75,44.0
40.0,58.75,42.5,67.5,49.0
70.0,51.25,45.0,57.5,40.0
80.0,25.0,62.5,21.25,71.0
50.0,36.25,35.0,72.5,49.5
40.0,45.0,37.5,65.0,78.5
70.0,45.0,42.5,86.25,69.5
40.0,23.75,60.0,37.5,48.5
80.0,71.25,47.5,27.5,71.5
60.0,36.25,50.0,68.75,63.5
70.0,72.5,67.5,41.25,41.5
80.0,23.75,20.0,58.75,68.5
60.0,81.25,67.5,50.0,31.0
80.0,58.75,27.5,70.0,83.0
50.0,61.25,70.0,62.5,70.5
40.0,22.5,10.0,53.75,77.5
100.0,61.25,62.5,55.0,64.5
50.0,38.75,80.0,60.0,77.5
60.0,32.5,45.0,35.0,74.0
70.0,40.0,70.0,45.0,55.5
80.0,63.75,52.5,57.5,45.5
50.0,38.75,87.5,58.75,78.5
80.0,33.75,37.5,36.25,92.0
40.0,26.25,37.5,62.5,50.0
60.0,70.0,22.5,43.75,73.5
70.0,45.0,60.0,93.75,82.5
40.0,60.0,52.5,70.0,58.0
60.0,53.75,72.5,76.25,66.0
60.0,40.0,75.0,81.25,83.5
30.0,61.25,30.0,83.75,52.5
80.0,13.75,70.0,77.5,29.0
60.0,30.0,40.0,68.75,70.0
20.0,46.25,60.0,47.5,77.5
50.0,53.75,87.5,3.75,62.5
60.0,13.75,22.5,58.75,73.5
60.0,25.0,40.0,3.75,63.0
80.0,43.75,10.0,42.5,69.0
80.0,43.75,55.0,16.25,31.0
50.0,60.0,25.0,63.75,40.0
100.0,32.5,37.5,11.25,66.5
60.0,31.25,82.5,43.75,53.0
40.0,52.5,45.0,68.75,59.5
30.0,63.75,72.5,32.5,70.0
70.0,62.5,90.0,2.5,79.5
40.0,72.5,95.0,18.75,94.0
60.0,46.25,75.0,67.5,75.0
80.0,35.0,12.5,77.5,70.0
40.0,62.5,72.5,63.75,84.0
30.0,45.0,32.5,62.5,85.0
70.0,45.0,65.0,60.0,47.5
50.0,62.5,45.0,70.0,50.5
50.0,60.0,37.5,72.5,80.5
50.0,13.75,72.5,95.0,52.5
50.0,35.0,60.0,31.25,41.0
60.0,11.25,22.5,87.5,40.0
70.0,72.5,25.0,65.0,54.5
100.0,46.25,72.5,62.5,64.0
50.0,57.5,57.5,15.0,81.5
70.0,52.5,82.5,42.5,37.0
60.0,52.5,47.5,85.0,80.0
60.0,33.75,80.0,38.75,76.0
80.0,65.0,70.0,78.75,62.5
90.0,60.0,55.0,82.5,26.0
80.0,58.75,35.0,77.5,97.5
50.0,41.25,72.5,32.5,66.0
60.0,31.25,70.0,55.0,56.5
60.0,38.75,100.0,63.75,37.0
50.0,61.25,52.5,71.25,50.0
40.0,55.0,70.0,67.5,38.5
60.0,37.5,82.5,83.75,77.5
90.0,51.25,57.5,42.5,79.5
70.0,72.5,65.0,46.25,54.5
70.0,35.0,70.0,56.25,44.0
60.0,17.5,62.5,62.5,45.0
40.0,60.0,22.5,43.75,44.0
70.0,73.75,45.0,75.0,64.5
80.0,62.5,35.0,43.75,66.5
80.0,51.25,55.0,55.0,66.0
70.0,42.5,70.0,82.5,34.5
90.0,58.75,37.5,36.25,87.0
60.0,41.25,67.5,15.0,64.0
20.0,70.0,65.0,47.5,54.0
40.0,75.0,77.5,65.0,65.0
40.0,71.25,90.0,66.25,62.0
20.0,50.0,30.0,81.25,86.5
60.0,27.5,32.5,80.0,74.5
70.0,46.25,65.0,100.0,59.0
50.0,76.25,45.0,47.5,63.5
70.0,47.5,60.0,43.75,54.0
40.0,12.5,85.0,31.25,68.5
50.0,51.25,67.5,57.5,76.0
80.0,20.0,50.0,37.5,62.0
40.0,46.25,65.0,41.25,77.5
70.0,21.25,62.5,28.75,68.5
70.0,33.75,52.5,10.0,69.5
40.0,20.0,32.5,42.5,53.0
60.0,30.0,37.5,78.75,76.0
20.0,38.75,17.5,42.5,65.0
80.0,51.25,57.5,78.75,53.0
20.0,67.5,47.5,16.25,48.5
30.0,66.25,40.0,83.75,86.5
80.0,42.5,85.0,48.75,45.0
80.0,43.75,47.5,68.75,42.0
50.0,67.5,67.5,57.5,39.0
90.0,47.5,50.0,51.25,52.5
60.0,23.75,57.5,55.0,88.5
100.0,40.0,47.5,80.0,42.0
80.0,13.75,77.5,65.0,68.0
100.0,28.75,60.0,87.5,49.5
70.0,35.0,67.5,41.25,65.5
50.0,23.75,17.5,71.25,41.0
20.0,25.0,45.0,55.0,29.5
50.0,53.75,80.0,41.25,61.5
40.0,78.75,92.5,70.0,56.0
20.0,47.5,45.0,73.75,84.0
30.0,33.75,120.0,70.0,100.0
30.0,50.0,67.5,60.0,61.5
80.0,41.25,50.0,73.75,39.0
60.0,35.0,60.0,77.5,85.0
40.0,51.25,37.5,71.25,54.5
40.0,75.0,90.0,52.5,53.0
90.0,52.5,55.0,15.0,90.0
40.0,80.0,72.5,57.5,57.0
50.0,53.75,57.5,68.75,35.0
40.0,42.5,52.5,56.25,49.5
80.0,45.0,40.0,61.25,35.0
20.0,56.25,32.5,57.5,29.0
80.0,36.25,97.5,96.25,69.5
50.0,22.5,95.0,42.5,55.5
80.0,50.0,75.0,65.0,74.5
40.0,43.75,75.0,40.0,71.0
70.0,28.75,65.0,32.5,64.5
60.0,42.5,37.5,56.25,74.5
30.0,67.5,52.5,87.5,37.5
40.0,73.75,80.0,38.75,54.0
20.0,42.5,80.0,65.0,76.0
40.0,58.75,67.5,87.5,83.5
70.0,52.5,50.0,41.25,49.0
70.0,71.25,72.5,65.0,39.0
30.0,62.5,17.5,51.25,71.5
40.0,25.0,45.0,35.0,84.0
60.0,37.5,55.0,63.75,72.0
60.0,16.25,52.5,55.0,83.0
70.0,66.25,67.5,77.5,72.5
80.0,61.25,55.0,42.5,39.0
100.0,16.25,17.5,71.25,48.0
60.0,20.0,47.5,58.75,45.5
60.0,60.0,50.0,80.0,53.5
50.0,63.75,20.0,72.5,50.5
30.0,47.5,20.0,51.25,30.0
30.0,71.25,65.0,35.0,62.0
50.0,72.5,55.0,48.75,65.5
40.0,56.25,100.0,50.0,83.0
60.0,76.25,37.5,43.75,40.0
50.0,53.75,55.0,76.25,44.0
60.0,51.25,67.5,86.25,34.0
50.0,23.75,47.5,58.75,78.5
50.0,70.0,57.5,61.25,40.5
50.0,68.75,52.5,62.5,33.5
50.0,52.5,80.0,60.0,79.0
100.0,50.0,42.5,68.75,63.5
50.0,53.75,67.5,57.5,39.5
90.0,40.0,100.0,50.0,44.0
100.0,47.5,82.5,73.75,69.0
80.0,70.0,40.0,46.25,86.0
60.0,20.0,40.0,47.5,54.0
60.0,42.5,60.0,48.75,55.0
60.0,40.0,55.0,72.5,95.0
100.0,20.0,47.5,66.25,70.0
50.0,22.5,55.0,36.25,74.0
100.0,41.25,52.5,48.75,82.0
60.0,77.5,50.0,41.25,69.0
40.0,68.75,57.5,62.5,70.0
70.0,60.0,32.5,73.75,56.0
50.0,68.75,40.0,90.0,61.5
50.0,17.5,52.5,28.75,49.0
70.0,32.5,30.0,55.0,59.0
70.0,46.25,72.5,63.75,67.0
50.0,41.25,65.0,88.75,92.0
70.0,45.0,70.0,27.5,31.5
40.0,71.25,90.0,43.75,87.5
100.0,15.0,65.0,28.75,56.5
80.0,26.25,35.0,45.0,87.0
70.0,62.5,52.5,41.25,37.5
60.0,35.0,72.5,38.75,46.5
70.0,58.75,60.0,41.25,69.5
50.0,46.25,20.0,2.5,70.5
70.0,51.25,65.0,97.5,100.0
60.0,66.25,60.0,33.75,66.0
90.0,30.0,15.0,60.0,65.0
100.0,48.75,45.0,60.0,61.5
30.0,20.0,65.0,58.75,36.0
70.0,67.5,27.5,63.75,68.0
20.0,37.5,15.0,77.5,83.5
60.0,42.5,50.0,67.5,79.5
40.0,48.75,75.0,75.0,71.0
80.0,43.75,20.0,72.5,88.0
40.0,31.25,80.0,47.5,70.0
70.0,58.75,50.0,60.0,46.5
40.0,23.75,77.5,38.75,79.5
20.0,57.5,77.5,50.0,78.5
60.0,47.5,50.0,60.0,74.0
20.0,45.0,80.0,57.5,54.0
80.0,50.0,45.0,80.0,67.0
20.0,47.5,40.0,77.5,58.0
90.0,41.25,37.5,91.25,71.0
80.0,65.0,42.5,63.75,56.5
70.0,21.25,12.5,58.75,74.0
50.0,38.75,37.5,45.0,61.5
50.0,51.25,45.0,78.75,70.0
60.0,75.0,47.5,41.25,69.5
80.0,35.0,72.5,53.75,86.5
50.0,62.5,60.0,100.0,94.5
50.0,31.25,60.0,91.25,72.0
50.0,38.75,55.0,40.0,30.0
70.0,76.25,50.0,78.75,48.0
70.0,35.0,82.5,11.25,75.0
80.0,37.5,75.0,31.25,39.5
60.0,36.25,67.5,41.25,79.0
80.0,21.25,40.0,58.75,45.0
50.0,58.75,40.0,53.75,83.0
40.0,47.5,90.0,60.0,44.5
80.0,55.0,85.0,43.75,76.0
50.0,55.0,40.0,65.0,42.5
40.0,62.5,40.0,65.0,41.5
80.0,35.0,22.5,80.0,64.5
70.0,48.75,15.0,60.0,84.0
40.0,68.75,92.5,81.25,46.0
60.0,36.25,42.5,76.25,83.5
50.0,35.0,52.5,55.0,58.0
40.0,71.25,37.5,85.0,29.0
70.0,41.25,40.0,51.25,86.5
60.0,58.75,55.0,68.75,50.5
50.0,16.25,87.5,81.25,73.5
30.0,53.75,57.5,43.75,39.0
20.0,51.25,55.0,63.75,67.5
60.0,43.75,52.5,32.5,82.5
60.0,35.0,57.5,53.75,69.0
70.0,61.25,67.5,32.5,39.0
50.0,30.0,60.0,61.25,78.5
60.0,51.25,60.0,90.0,34.0
20.0,67.5,35.0,20.0,87.0
50.0,63.75,62.5,36.25,97.0
40.0,51.25,72.5,90.0,55.0
60.0,35.0,75.0,67.5,64.5
70.0,48.75,20.0,82.5,79.5
100.0,28.75,77.5,87.5,78.5
100.0,47.5,32.5,66.25,76.5
60.0,15.0,77.5,91.25,42.5
60.0,51.25,50.0,88.75,31.0
40.0,23.75,40.0,1.25,33.5
50.0,56.25,62.5,67.5,52.5
40.0,78.75,67.5,32.5,62.5
100.0,46.25,42.5,75.0,90.0
40.0,52.5,62.5,78.75,52.0
40.0,45.0,45.0,47.5,63.5
70.0,28.75,50.0,72.5,67.0
40.0,53.75,67.5,60.0,27.0
60.0,71.25,97.5,6.25,88.5
70.0,58.75,35.0,55.0,65.0
70.0,30.0,37.5,50.0,62.5
50.0,53.75,40.0,62.5,52.0
40.0,33.75,72.5,81.25,63.0
90.0,57.5,67.5,47.5,68.0
40.0,38.75,55.0,48.75,69.5
60.0,35.0,25.0,45.0,66.0
80.0,45.0,75.0,52.5,84.5
90.0,63.75,87.5,77.5,76.0
70.0,60.0,47.5,38.75,72.0
70.0,50.0,87.5,43.75,37.0
70.0,46.25,90.0,75.0,75.5
50.0,23.75,65.0,97.5,54.0
20.0,45.0,50.0,40.0,42.0
90.0,48.75,52.5,71.25,59.0
40.0,32.5,97.5,77.5,63.0
60.0,60.0,70.0,82.5,37.5
70.0,38.75,50.0,58.75,67.0
20.0,35.0,40.0,46.25,44.0
80.0,61.25,65.0,95.0,62.0
40.0,38.75,27.5,56.25,40.0
90.0,41.25,42.5,50.0,96.5
90.0,58.75,87.5,51.25,58.5
20.0,20.0,40.0,66.25,63.5
50.0,38.75,75.0,32.5,50.0
60.0,40.0,27.5,75.0,81.0
60.0,51.25,40.0,95.0,46.0
60.0,68.75,60.0,80.0,63.5
90.0,43.75,40.0,45.0,62.5
70.0,28.75,67.5,58.75,76.5
50.0,12.5,70.0,81.25,65.0
60.0,60.0,42.5,93.75,56.0
30.0,60.0,65.0,16.25,62.0
30.0,56.25,20.0,27.5,45.5
40.0,61.25,82.5,58.75,64.5
80.0,76.25,27.5,40.0,65.5
60.0,63.75,95.0,100.0,74.0
70.0,57.5,40.0,40.0,39.0
40.0,37.5,62.5,38.75,53.0
60.0,30.0,67.5,31.25,61.0
50.0,28.75,95.0,37.5,90.0
50.0,65.0,32.5,61.25,74.0
80.0,67.5,47.5,80.0,73.5
50.0,62.5,20.0,73.75,42.5
80.0,25.0,57.5,46.25,74.0
100.0,35.0,62.5,36.25,81.0
70.0,70.0,60.0,81.25,55.0
50.0,41.25,30.0,71.25,81.5
50.0,46.25,50.0,45.0,91.0
100.0,31.25,77.5,65.0,61.5
80.0,51.25,32.5,70.0,67.5
50.0,28.75,82.5,62.5,48.0
70.0,66.25,27.5,25.0,75.0
20.0,62.5,35.0,48.75,78.5
70.0,31.25,77.5,71.25,62.5
30.0,71.25,55.0,77.5,49.5
60.0,60.0,50.0,67.5,76.5
90.0,26.25,40.0,75.0,84.5
60.0,32.5,57.5,48.75,77.0
40.0,31.25,45.0,65.0,72.5
60.0,57.5,75.0,66.25,64.0
80.0,60.0,30.0,81.25,49.0
20.0,61.25,45.0,47.5,61.5
40.0,13.75,60.0,55.0,40.0
80.0,78.75,55.0,82.5,54.0
60.0,30.0,85.0,27.5,94.0
40.0,41.25,45.0,31.25,59.0
60.0,45.0,32.5,57.5,74.5
60.0,31.25,75.0,2.5,52.5
50.0,58.75,32.5,31.25,55.5
90.0,37.5,80.0,55.0,86.5
90.0,31.25,100.0,47.5,50.0
40.0,55.0,95.0,43.75,76.5
40.0,12.5,50.0,77.5,70.0
80.0,51.25,77.5,62.5,79.0
30.0,68.75,42.5,55.0,57.0
30.0,40.0,52.5,43.75,51.0
90.0,21.25,55.0,83.75,29.0
50.0,61.25,72.5,77.5,68.5
20.0,81.25,50.0,86.25,59.0
90.0,51.25,47.5,67.5,37.5
70.0,45.0,72.5,70.0,80.5
60.0,16.25,45.0,76.25,51.5
50.0,58.75,20.0,50.0,40.0
70.0,38.75,75.0,55.0,82.0
50.0,77.5,22.5,68.75,62.0
70.0,25.0,85.0,83.75,50.5
90.0,50.0,72.5,66.25,32.0
80.0,18.75,92.5,63.75,78.5
40.0,32.5,65.0,48.75,63.5
70.0,40.0,12.5,50.0,71.0
60.0,23.75,50.0,23.75,66.0
40.0,31.25,72.5,37.5,79.0
40.0,36.25,57.5,51.25,39.5
50.0,26.25,30.0,38.75,59.5
30.0,57.5,90.0,73.75,61.5
40.0,66.25,75.0,43.75,88.5
40.0,66.25,52.5,15.0,85.0
60.0,48.75,52.5,48.75,60.0
30.0,51.25,50.0,38.75,70.5
90.0,67.5,80.0,72.5,29.5
50.0,23.75,35.0,82.5,52.5
40.0,31.25,60.0,38.75,80.5
60.0,35.0,82.5,76.25,62.0
60.0,73.75,60.0,43.75,52.5
90.0,65.0,50.0,77.5,56.0
50.0,77.5,67.5,33.75,85.0
90.0,30.0,35.0,70.0,85.0
40.0,47.5,97.5,92.5,58.5
60.0,52.5,50.0,51.25,69.5
30.0,45.0,37.5,70.0,55.0
70.0,21.25,65.0,72.5,64.5
80.0,30.0,62.5,77.5,73.0
60.0,22.5,20.0,77.5,85.5
50.0,43.75,80.0,85.0,69.5
90.0,71.25,87.5,78.75,74.0
40.0,56.25,77.5,52.5,60.5
80.0,33.75,42.5,10.0,60.0
70.0,48.75,12.5,60.0,81.5
100.0,22.5,70.0,78.75,55.0
50.0,71.25,67.5,60.0,59.0
40.0,56.25,42.5,43.75,47.0
50.0,50.0,37.5,57.5,50.5
80.0,60.0,67.5,83.75,64.0
30.0,32.5,42.5,3.75,43.0
50.0,41.25,22.5,75.0,61.5
80.0,43.75,55.0,52.5,35.5
80.0,27.5,70.0,58.75,51.5
60.0,58.75,60.0,75.0,49.0
30.0,32.5,27.5,42.5,39.5
60.0,13.75,100.0,42.5,60.0
40.0,43.75,85.0,65.0,41.0
90.0,42.5,50.0,32.5,41.0
40.0,57.5,65.0,75.0,74.5
90.0,32.5,40.0,41.25,47.5
50.0,41.25,50.0,83.75,65.0
70.0,51.25,30.0,75.0,56.0
20.0,71.25,57.5,60.0,42.5
90.0,11.25,40.0,75.0,35.0
60.0,35.0,97.5,10.0,87.5
60.0,61.25,75.0,61.25,72.5
60.0,80.0,80.0,80.0,62.5
70.0,80.0,62.5,40.0,40.0
100.0,32.5,57.5,63.75,58.0
50.0,12.5,77.5,58.75,77.5
80.0,42.5,57.5,87.5,87.5
90.0,48.75,80.0,38.75,56.5
50.0,25.0,60.0,32.5,98.5
90.0,27.5,47.5,60.0,80.0
80.0,37.5,45.0,18.75,67.0
50.0,22.5,67.5,48.75,50.0
40.0,60.0,65.0,51.25,81.0
60.0,67.5,65.0,95.0,57.0
40.0,70.0,62.5,38.75,52.5
40.0,45.0,40.0,55.0,60.0
70.0,55.0,52.5,40.0,54.0
70.0,40.0,50.0,38.75,56.0
50.0,50.0,40.0,38.75,62.5
60.0,65.0,87.5,88.75,61.5
100.0,53.75,72.5,73.75,82.0
50.0,66.25,72.5,50.0,65.0
40.0,52.5,77.5,67.5,64.5
70.0,35.0,52.5,45.0,55.5
30.0,53.75,42.5,16.25,77.0
50.0,60.0,32.5,68.75,77.5
70.0,55.0,82.5,73.75,54.0
80.0,20.0,62.5,62.5,42.0
40.0,67.5,20.0,80.0,37.0
60.0,81.25,20.0,95.0,68.5
60.0,70.0,70.0,76.25,55.5
60.0,25.0,50.0,47.5,74.0
40.0,55.0,50.0,51.25,97.5
60.0,43.75,40.0,37.5,92.0
40.0,48.75,62.5,52.5,52.5
20.0,68.75,32.5,85.0,54.5
60.0,63.75,85.0,42.5,85.5
50.0,62.5,75.0,45.0,83.0
60.0,53.75,32.5,30.0,45.5
50.0,40.0,60.0,2.5,96.0
40.0,37.5,52.5,50.0,46.5
70.0,23.75,80.0,65.0,88.5
100.0,45.0,47.5,73.75,55.0
90.0,12.5,35.0,73.75,82.0
60.0,23.75,85.0,82.5,73.0
60.0,61.25,50.0,75.0,88.0
90.0,62.5,47.5,42.5,84.5
60.0,52.5,37.5,81.25,65.5
30.0,35.0,85.0,53.75,62.0
80.0,22.5,92.5,70.0,47.0
80.0,20.0,52.5,73.75,27.0
70.0,56.25,15.0,5.0,56.0
