employee_id,institution,date_of_birth,gender,age_group,job_role,years_of_experience,department,language_proficiency,ethnicity,educational_institute,punctuality,problem_solving,leadership,collaboration,communication,deadline_adherence_rate,adherence_level,avg_response_time,response_time_level,no_of_meetings_attended,no_of_subordinates,decision_contribution,learning_hours_per_month,type_of_learning,team_engagement_frequency,completed_storypoint_ratio,completed_story_points,assigned_story_points,project_id,project_name,duration_weeks,relative_effort,team_size,project_complexity,rework_count,no_pay_leave,blockers,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metric_7_name,metric_7_value
11,Company_B,1985-11-17,Female,36-40,QA Engineer,19,QA,English,Tamil,University_Q,5,2,2,4,4,47.59,1,5.47,1,24,6,5,2,None observed,8,0.47,55,117,6,Supply Chain Tracker,39,497,8,9.76,5,2,1,tasks_assigned,10,tasks_completed,3,tasks_on_time,3,bug_count,0,bugs_fixed_count,0,code_quality (1-10),8,rework_count,2
12,Company_F,1985-01-18,Female,36-40,QA Engineer,19,QA,Tamil,Muslim,University_E,4,4,4,2,2,28.37,1,0.53,2,11,6,2,13,None observed,9,0.8,70,87,7,Payroll Automation,8,445,6,4.16,4,6,5,tasks_completed,18,project_delay (days),10,changing_relative_effort,57,sprint_velocity,17,team_velocity,76,stakeholder_satisfaction(1-5),5,milestone_completion_rate,2
13,Company_J,1989-03-09,Male,31-35,Project Manager,15,Project Management,Sinhala,Tamil,University_C,3,5,1,2,2,76.2,3,4.32,5,18,1,4,28,Self-learning,8,0.73,82,112,8,Microfinance Management System,24,389,15,2.12,2,8,2,tasks_completed,14,project_delay (days),10,changing_relative_effort,153,sprint_velocity,54,team_velocity,38,stakeholder_satisfaction(1-5),3,milestone_completion_rate,2
14,Company_O,1994-02-03,Female,26-30,Project Manager,10,Project Management,Tamil,Muslim,University_K,4,5,5,1,1,88.47,4,1.25,3,34,2,1,18,Knowledge sharing,9,0.6,28,47,20,Banking Mobile App,25,97,15,9.57,1,10,2,tasks_completed,8,project_delay (days),25,changing_relative_effort,100,sprint_velocity,19,team_velocity,21,stakeholder_satisfaction(1-5),1,milestone_completion_rate,5
15,Company_A,1990-01-01,Female,31-35,QA Engineer,14,QA,Sinhala,Muslim,University_O,1,2,3,1,5,78.06,3,2.22,4,29,6,2,6,None observed,6,0.97,36,37,9,Customer Portal,33,391,10,9.89,4,5,3,total_test_cases_executed,88,total_pass_test_cases,64,total_bugs_detected,13,defect_reopened_count,13,total_documents_created,15,document_quality (1-5),3,test_execution_time (hrs),9
16,Company_K,1987-07-11,Female,36-40,DevOps Engineer,17,DevOps,English,Muslim,University_G,3,3,2,1,3,86.67,4,1.84,1,34,9,5,26,On-the-job learning,2,0.57,33,58,14,Digital Wallet Platform,49,159,3,4.73,2,8,3,total_deployments,14,successful_deployments,0,deployment_time_efficiency,0.44,incident_count,6,system_downtime (hrs),18.7,automated_pipeline_stages,1,total_pipeline_stages,10
17,Company_A,1989-07-11,Female,31-35,Project Manager,15,Project Management,English,Muslim,University_L,3,4,5,3,3,99.43,5,1.99,5,21,3,1,14,Formal training,1,1,111,111,9,Customer Portal,46,63,3,6.78,1,7,1,tasks_completed,2,project_delay (days),8,changing_relative_effort,147,sprint_velocity,30,team_velocity,33,stakeholder_satisfaction(1-5),3,milestone_completion_rate,2
18,Company_O,2001-04-09,Male,20-25,Software Engineer,3,Development,Tamil,Tamil,University_M,4,4,3,2,1,73.06,3,5.24,1,12,1,4,33,Self-learning,3,0.39,13,33,20,Banking Mobile App,17,288,13,3.31,2,2,4,total_test_cases_executed,87,total_pass_test_cases,14,total_bugs_detected,24,defect_reopened_count,5,total_documents_created,5,document_quality (1-5),1,test_execution_time (hrs),1
19,Company_F,2002-11-24,Female,20-25,DevOps Engineer,2,DevOps,Sinhala,Sinhala,University_U,5,1,2,1,4,99.33,5,3.77,4,23,0,2,20,Online courses / certifications,1,0.85,52,61,7,Payroll Automation,10,271,7,6.72,3,2,3,tasks_assigned,10,tasks_completed,9,tasks_on_time,4,bug_count,19,bugs_fixed_count,17,code_quality (1-10),8,rework_count,3
20,Company_K,1985-08-30,Male,36-40,Software Engineer,19,Development,Tamil,Tamil,University_M,3,1,1,2,5,56.71,2,0.61,5,22,9,1,13,Research & innovation,4,0.38,11,29,14,Digital Wallet Platform,48,500,6,6,4,3,0,tasks_completed,8,project_delay (days),23,changing_relative_effort,154,sprint_velocity,41,team_velocity,55,stakeholder_satisfaction(1-5),4,milestone_completion_rate,4
21,Company_F,1999-12-19,Female,20-25,Project Manager,5,Project Management,Tamil,Muslim,University_L,4,1,2,5,3,57.1,2,3.24,3,33,0,2,19,Research & innovation,2,0.96,49,51,7,Payroll Automation,24,111,13,5.82,5,2,1,total_deployments,7,successful_deployments,7,deployment_time_efficiency,0.49,incident_count,9,system_downtime (hrs),46.9,automated_pipeline_stages,5,total_pipeline_stages,5
22,Company_H,1984-08-03,Male,36-40,QA Engineer,20,QA,Sinhala,Muslim,University_Q,2,1,3,4,3,57.62,2,3.29,2,5,4,3,39,Online courses / certifications,5,0.76,58,76,17,Learning Management System,34,108,15,1.59,3,1,4,tasks_assigned,25,tasks_completed,22,tasks_on_time,1,bug_count,4,bugs_fixed_count,1,code_quality (1-10),8,rework_count,2
23,Company_I,2000-09-18,Female,20-25,Project Manager,4,Project Management,English,Sinhala,University_Q,4,1,2,4,2,85.1,4,4.8,1,21,5,5,27,Self-learning,3,0.58,67,116,12,Fleet Management System,39,88,4,1.02,3,9,3,tasks_assigned,14,tasks_completed,1,tasks_on_time,0,bug_count,9,bugs_fixed_count,4,code_quality (1-10),7,rework_count,3
24,Company_P,1991-10-23,Female,31-35,Software Engineer,13,Development,English,Sinhala,University_A,5,4,5,2,2,36.88,1,3.85,5,29,9,2,33,Research & innovation,9,0.99,74,75,11,Telecom Billing System,48,205,13,4.62,2,8,4,tasks_assigned,20,tasks_completed,15,tasks_on_time,2,bug_count,19,bugs_fixed_count,1,code_quality (1-10),9,rework_count,5
25,Company_H,1985-12-06,Male,36-40,DevOps Engineer,19,DevOps,English,Sinhala,University_C,1,5,4,3,2,36.93,1,2.44,1,17,9,3,10,Research & innovation,5,0.69,51,74,17,Learning Management System,46,103,15,2.45,3,7,2,total_test_cases_executed,94,total_pass_test_cases,51,total_bugs_detected,26,defect_reopened_count,24,total_documents_created,9,document_quality (1-5),1,test_execution_time (hrs),2
26,Company_N,1985-11-07,Male,36-40,QA Engineer,19,QA,Tamil,Tamil,University_Q,4,1,3,5,1,45.93,1,4.2,3,21,9,4,25,None observed,5,0.83,19,23,16,HR Management System,11,64,12,6.48,1,2,2,tasks_completed,18,project_delay (days),0,changing_relative_effort,191,sprint_velocity,36,team_velocity,25,stakeholder_satisfaction(1-5),2,milestone_completion_rate,4
27,Company_Q,1984-03-14,Male,36-40,Project Manager,20,Project Management,Tamil,Sinhala,University_O,5,4,3,1,3,99.41,5,2.95,2,20,5,1,25,Knowledge sharing,10,0.73,70,96,18,Smart Grid Monitor,41,346,12,5.41,1,7,4,total_test_cases_executed,71,total_pass_test_cases,44,total_bugs_detected,10,defect_reopened_count,8,total_documents_created,13,document_quality (1-5),3,test_execution_time (hrs),5
28,Company_M,1996-10-29,Female,26-30,QA Engineer,8,QA,Sinhala,Muslim,University_U,2,1,3,2,5,64.62,2,1.46,3,8,2,4,35,Formal training,9,0.84,74,88,15,Inventory Management System,50,123,8,8.84,1,1,3,tasks_assigned,30,tasks_completed,9,tasks_on_time,5,bug_count,19,bugs_fixed_count,12,code_quality (1-10),7,rework_count,2
29,Company_R,1997-03-02,Male,26-30,Project Manager,7,Project Management,English,Muslim,University_H,5,3,4,5,5,96.23,5,3.28,5,32,1,1,37,Formal training,9,0.61,34,56,19,E-Commerce Platform,7,200,7,4.37,1,3,4,tasks_assigned,18,tasks_completed,6,tasks_on_time,1,bug_count,5,bugs_fixed_count,0,code_quality (1-10),6,rework_count,3
30,Company_H,2001-06-05,Female,20-25,Software Engineer,3,Development,English,Tamil,University_F,1,3,5,3,3,51.37,2,3.29,3,14,10,4,16,Research & innovation,2,0.44,18,41,17,Learning Management System,10,171,8,6.15,4,4,5,total_deployments,10,successful_deployments,0,deployment_time_efficiency,0.98,incident_count,10,system_downtime (hrs),19,automated_pipeline_stages,1,total_pipeline_stages,10
31,Company_T,2000-04-24,Male,20-25,QA Engineer,4,QA,Sinhala,Muslim,University_P,2,4,4,4,3,47.54,1,2.21,3,25,9,5,7,Self-learning,10,0.65,42,65,3,Insurance Claims Platform,9,201,7,7.73,1,3,1,total_test_cases_executed,79,total_pass_test_cases,46,total_bugs_detected,16,defect_reopened_count,16,total_documents_created,15,document_quality (1-5),2,test_execution_time (hrs),2
32,Company_Q,1992-01-08,Female,31-35,DevOps Engineer,12,DevOps,Sinhala,Sinhala,University_N,4,2,2,4,5,71.3,3,3.25,2,27,1,4,4,Formal training,10,0.7,59,84,18,Smart Grid Monitor,41,245,15,6.75,2,1,5,total_deployments,8,successful_deployments,7,deployment_time_efficiency,0.32,incident_count,8,system_downtime (hrs),15.7,automated_pipeline_stages,4,total_pipeline_stages,9
33,Company_D,1989-11-04,Male,31-35,Software Engineer,15,Development,Sinhala,Sinhala,University_M,1,5,5,2,3,93.75,4,5.77,4,14,3,1,11,Knowledge sharing,8,0.92,83,90,5,Hospital Information System,6,403,7,2.96,3,3,2,total_deployments,4,successful_deployments,2,deployment_time_efficiency,0.68,incident_count,10,system_downtime (hrs),17.2,automated_pipeline_stages,7,total_pipeline_stages,9
34,Company_H,1991-02-15,Male,31-35,QA Engineer,13,QA,English,Tamil,University_U,1,3,3,1,1,56.35,2,3.29,3,34,9,5,4,Formal training,2,0.48,48,101,17,Learning Management System,38,178,14,2.57,5,0,1,total_test_cases_executed,11,total_pass_test_cases,5,total_bugs_detected,25,defect_reopened_count,25,total_documents_created,4,document_quality (1-5),3,test_execution_time (hrs),1
35,Company_N,1992-07-23,Male,31-35,Project Manager,12,Project Management,Sinhala,Tamil,University_J,5,4,3,3,5,72.03,3,2.33,5,14,5,3,27,Formal training,8,0.53,23,43,16,HR Management System,35,414,9,1.66,0,5,4,total_deployments,5,successful_deployments,0,deployment_time_efficiency,0.39,incident_count,9,system_downtime (hrs),30.4,automated_pipeline_stages,6,total_pipeline_stages,9
36,Company_R,1990-01-22,Male,31-35,DevOps Engineer,14,DevOps,Sinhala,Muslim,University_F,5,1,3,5,2,91.33,4,1.35,5,16,9,2,30,Research & innovation,9,0.66,63,96,19,E-Commerce Platform,13,401,9,1.6,0,1,3,tasks_completed,4,project_delay (days),23,changing_relative_effort,145,sprint_velocity,18,team_velocity,55,stakeholder_satisfaction(1-5),1,milestone_completion_rate,5
37,Company_S,1989-03-23,Female,31-35,Project Manager,15,Project Management,Tamil,Sinhala,University_C,1,3,1,2,3,76.66,3,3.32,1,32,1,2,30,Research & innovation,8,0.86,68,79,13,CRM Platform,18,463,8,8.61,4,9,5,tasks_completed,18,project_delay (days),0,changing_relative_effort,118,sprint_velocity,11,team_velocity,31,stakeholder_satisfaction(1-5),2,milestone_completion_rate,4
38,Company_F,1999-09-03,Female,20-25,Project Manager,5,Project Management,English,Sinhala,University_R,1,1,2,4,5,98.91,5,1.11,2,36,9,5,3,Research & innovation,3,0.55,11,20,7,Payroll Automation,52,366,2,7.07,2,7,5,total_test_cases_executed,64,total_pass_test_cases,62,total_bugs_detected,19,defect_reopened_count,14,total_documents_created,7,document_quality (1-5),2,test_execution_time (hrs),8
39,Company_M,1997-07-12,Female,26-30,Project Manager,7,Project Management,Sinhala,Tamil,University_H,3,2,4,4,2,76.92,3,0.85,4,34,0,3,14,Online courses / certifications,8,0.99,78,79,15,Inventory Management System,15,116,8,5.79,1,8,4,total_test_cases_executed,95,total_pass_test_cases,45,total_bugs_detected,2,defect_reopened_count,1,total_documents_created,14,document_quality (1-5),4,test_execution_time (hrs),5
40,Company_Q,1990-05-24,Female,31-35,DevOps Engineer,14,DevOps,Sinhala,Muslim,University_M,1,4,5,2,5,64.32,2,1.06,5,25,10,3,21,Formal training,2,0.9,92,102,18,Smart Grid Monitor,23,431,7,2.99,1,1,4,total_deployments,4,successful_deployments,4,deployment_time_efficiency,0.66,incident_count,5,system_downtime (hrs),16.9,automated_pipeline_stages,3,total_pipeline_stages,6
41,Company_M,1996-03-31,Male,26-30,QA Engineer,8,QA,Tamil,Tamil,University_J,3,4,1,5,2,62.45,2,2.69,2,22,3,1,3,Formal training,3,0.84,57,68,15,Inventory Management System,7,230,10,1.67,3,7,0,total_deployments,2,successful_deployments,1,deployment_time_efficiency,0.88,incident_count,1,system_downtime (hrs),30.9,automated_pipeline_stages,2,total_pipeline_stages,10
42,Company_Q,1990-10-07,Male,31-35,Project Manager,14,Project Management,Tamil,Sinhala,University_C,2,2,2,4,1,63.3,2,3.65,1,34,8,2,7,Self-learning,9,0.42,23,55,18,Smart Grid Monitor,43,131,7,4.36,2,6,3,total_deployments,11,successful_deployments,10,deployment_time_efficiency,0.72,incident_count,10,system_downtime (hrs),31.1,automated_pipeline_stages,2,total_pipeline_stages,7
43,Company_M,2003-10-11,Female,20-25,Project Manager,1,Project Management,English,Sinhala,University_I,3,2,3,5,5,92.19,4,4.03,3,14,2,5,40,Online courses / certifications,7,0.63,60,95,15,Inventory Management System,46,409,15,9.52,5,8,0,tasks_completed,14,project_delay (days),16,changing_relative_effort,142,sprint_velocity,11,team_velocity,43,stakeholder_satisfaction(1-5),2,milestone_completion_rate,5
44,Company_I,1991-07-07,Male,31-35,Project Manager,13,Project Management,Tamil,Sinhala,University_Q,3,3,4,2,3,55.16,2,1.08,1,20,7,1,19,Research & innovation,10,0.84,76,91,12,Fleet Management System,30,236,12,7.48,3,9,2,total_test_cases_executed,67,total_pass_test_cases,29,total_bugs_detected,17,defect_reopened_count,7,total_documents_created,5,document_quality (1-5),5,test_execution_time (hrs),8
45,Company_L,1989-11-23,Male,31-35,DevOps Engineer,15,DevOps,English,Muslim,University_U,3,5,1,1,4,99.86,5,1.95,3,28,6,3,4,Knowledge sharing,10,1,25,25,21,Medi Care App,21,280,10,2.33,3,1,1,tasks_assigned,19,tasks_completed,12,tasks_on_time,0,bug_count,13,bugs_fixed_count,0,code_quality (1-10),5,rework_count,2
46,Company_N,1992-12-24,Male,31-35,DevOps Engineer,12,DevOps,English,Muslim,University_C,2,5,5,2,3,28.14,1,2.25,4,30,9,3,39,Research & innovation,4,0.42,14,33,16,HR Management System,50,361,10,4.81,2,3,2,tasks_completed,4,project_delay (days),1,changing_relative_effort,111,sprint_velocity,36,team_velocity,60,stakeholder_satisfaction(1-5),4,milestone_completion_rate,3
47,Company_C,1995-08-21,Male,26-30,DevOps Engineer,9,DevOps,Sinhala,Muslim,University_U,2,1,4,3,4,41.91,1,4.3,3,31,8,5,32,Research & innovation,3,0.77,53,69,23,Delivery Service App,44,248,7,3.28,0,5,0,tasks_assigned,16,tasks_completed,8,tasks_on_time,1,bug_count,18,bugs_fixed_count,10,code_quality (1-10),2,rework_count,2
48,Company_P,1991-11-18,Female,31-35,QA Engineer,13,QA,English,Tamil,University_L,3,3,1,5,5,79.75,3,5.89,3,27,2,3,4,Self-learning,8,0.4,14,35,11,Telecom Billing System,22,232,15,8.03,5,5,2,total_test_cases_executed,25,total_pass_test_cases,25,total_bugs_detected,11,defect_reopened_count,6,total_documents_created,15,document_quality (1-5),3,test_execution_time (hrs),5
49,Company_T,2001-12-25,Male,20-25,Software Engineer,3,Development,Tamil,Sinhala,University_Q,4,4,2,3,3,78.16,3,0.83,4,10,10,5,16,Formal training,5,0.62,50,80,3,Insurance Claims Platform,14,403,9,4.16,0,5,4,total_deployments,14,successful_deployments,4,deployment_time_efficiency,0.75,incident_count,0,system_downtime (hrs),3.6,automated_pipeline_stages,7,total_pipeline_stages,9
50,Company_I,2001-01-07,Male,20-25,Project Manager,3,Project Management,Tamil,Tamil,University_A,5,2,2,5,4,42.99,1,3.33,1,10,6,1,13,Formal training,7,0.58,39,67,10,Government Tax Portal,12,321,7,4.58,5,4,1,tasks_assigned,8,tasks_completed,1,tasks_on_time,0,bug_count,15,bugs_fixed_count,12,code_quality (1-10),9,rework_count,0
51,Company_Q,1992-07-27,Female,31-35,Software Engineer,12,Development,Tamil,Sinhala,University_P,2,4,2,4,5,75.28,3,4.36,3,35,8,2,17,Knowledge sharing,1,0.51,28,55,18,Smart Grid Monitor,27,310,5,2.09,1,2,1,tasks_completed,16,project_delay (days),0,changing_relative_effort,142,sprint_velocity,45,team_velocity,56,stakeholder_satisfaction(1-5),2,milestone_completion_rate,4
52,Company_N,1990-06-07,Female,31-35,Project Manager,14,Project Management,Tamil,Sinhala,University_D,3,1,2,5,1,20.1,1,2.39,5,9,8,1,6,None observed,5,0.92,54,59,16,HR Management System,36,494,2,8.48,4,2,2,tasks_completed,6,project_delay (days),5,changing_relative_effort,132,sprint_velocity,55,team_velocity,34,stakeholder_satisfaction(1-5),2,milestone_completion_rate,5
53,Company_H,1985-02-12,Female,36-40,QA Engineer,19,QA,Tamil,Tamil,University_L,2,4,3,2,3,81.35,3,5.31,3,12,0,4,3,Self-learning,1,0.74,73,98,17,Learning Management System,30,366,12,1.27,5,8,2,total_deployments,10,successful_deployments,7,deployment_time_efficiency,0.47,incident_count,10,system_downtime (hrs),19.5,automated_pipeline_stages,8,total_pipeline_stages,8
54,Company_T,1986-12-01,Male,36-40,QA Engineer,18,QA,English,Tamil,University_T,5,5,2,4,5,93.59,4,5.85,5,29,8,3,28,Online courses / certifications,8,1,58,58,3,Insurance Claims Platform,43,264,5,9.66,1,5,4,tasks_completed,11,project_delay (days),6,changing_relative_effort,90,sprint_velocity,41,team_velocity,52,stakeholder_satisfaction(1-5),3,milestone_completion_rate,5
55,Company_T,1984-08-18,Female,36-40,DevOps Engineer,20,DevOps,Tamil,Muslim,University_L,1,1,2,5,5,55.86,2,1.65,3,26,4,1,15,Online courses / certifications,3,0.41,28,68,3,Insurance Claims Platform,7,341,10,2.75,4,4,0,tasks_assigned,17,tasks_completed,17,tasks_on_time,14,bug_count,17,bugs_fixed_count,8,code_quality (1-10),8,rework_count,4
56,Company_K,1990-06-06,Male,31-35,Project Manager,14,Project Management,Tamil,Muslim,University_J,4,3,2,2,3,91.57,4,3.63,3,20,7,5,23,Formal training,10,0.92,22,24,14,Digital Wallet Platform,14,251,11,7.65,2,9,2,total_test_cases_executed,74,total_pass_test_cases,65,total_bugs_detected,17,defect_reopened_count,15,total_documents_created,12,document_quality (1-5),3,test_execution_time (hrs),5
57,Company_A,1987-09-27,Male,36-40,Software Engineer,17,Development,Tamil,Tamil,University_G,1,5,5,4,1,54.27,2,4.47,1,39,4,1,34,None observed,10,0.72,75,104,9,Customer Portal,16,59,9,3.82,1,6,5,tasks_completed,7,project_delay (days),13,changing_relative_effort,178,sprint_velocity,59,team_velocity,59,stakeholder_satisfaction(1-5),5,milestone_completion_rate,4
58,Company_I,2002-01-04,Male,20-25,QA Engineer,2,QA,Tamil,Sinhala,University_I,4,4,3,5,1,91.9,4,5.56,5,19,3,5,32,Online courses / certifications,2,1,112,112,12,Fleet Management System,49,156,13,7.34,2,7,2,total_deployments,18,successful_deployments,8,deployment_time_efficiency,0.5,incident_count,9,system_downtime (hrs),32.5,automated_pipeline_stages,7,total_pipeline_stages,10
59,Company_M,2003-04-17,Female,20-25,QA Engineer,1,QA,Sinhala,Tamil,University_D,1,3,5,5,5,39.48,1,4.75,4,6,10,3,30,None observed,8,0.98,104,106,15,Inventory Management System,10,261,7,7.46,0,10,1,total_deployments,1,successful_deployments,0,deployment_time_efficiency,0.58,incident_count,7,system_downtime (hrs),22.9,automated_pipeline_stages,4,total_pipeline_stages,10
60,Company_B,2002-10-21,Male,20-25,Project Manager,2,Project Management,Sinhala,Tamil,University_P,5,5,5,4,1,89.42,4,2.45,1,10,9,5,22,Research & innovation,9,0.66,33,50,6,Supply Chain Tracker,45,328,10,5.45,1,8,3,total_test_cases_executed,44,total_pass_test_cases,12,total_bugs_detected,25,defect_reopened_count,3,total_documents_created,6,document_quality (1-5),2,test_execution_time (hrs),5
61,Company_A,1987-02-15,Male,36-40,Project Manager,17,Project Management,Sinhala,Sinhala,University_G,1,4,3,5,4,74.19,3,2.31,3,26,6,5,10,Research & innovation,9,0.45,38,85,9,Customer Portal,32,435,6,9.59,2,9,5,tasks_assigned,23,tasks_completed,1,tasks_on_time,1,bug_count,20,bugs_fixed_count,11,code_quality (1-10),7,rework_count,0
62,Company_L,1999-10-29,Female,20-25,QA Engineer,5,QA,English,Muslim,University_U,2,3,2,3,2,71.75,3,4.84,4,9,7,5,32,None observed,10,0.69,72,105,21,Medi Care App,52,325,14,6.98,1,3,5,total_test_cases_executed,86,total_pass_test_cases,10,total_bugs_detected,16,defect_reopened_count,14,total_documents_created,9,document_quality (1-5),4,test_execution_time (hrs),2
63,Company_P,1985-07-20,Male,36-40,DevOps Engineer,19,DevOps,English,Tamil,University_I,5,5,2,3,1,56.89,2,2.12,1,10,1,2,24,Online courses / certifications,5,0.88,28,32,11,Telecom Billing System,33,394,14,3.77,0,6,2,tasks_completed,1,project_delay (days),23,changing_relative_effort,105,sprint_velocity,47,team_velocity,24,stakeholder_satisfaction(1-5),1,milestone_completion_rate,2
64,Company_N,1984-09-08,Male,36-40,QA Engineer,20,QA,English,Sinhala,University_P,2,4,5,4,4,81.91,3,1.68,3,22,1,5,8,None observed,9,0.46,33,72,16,HR Management System,15,325,8,5.76,5,3,0,tasks_completed,1,project_delay (days),9,changing_relative_effort,168,sprint_velocity,53,team_velocity,66,stakeholder_satisfaction(1-5),3,milestone_completion_rate,3
65,Company_N,1987-01-12,Female,36-40,Software Engineer,17,Development,Tamil,Sinhala,University_U,4,4,2,4,5,95.98,5,4.05,3,16,8,2,33,Online courses / certifications,3,0.66,21,32,16,HR Management System,17,436,15,7.98,1,8,2,tasks_assigned,12,tasks_completed,12,tasks_on_time,9,bug_count,10,bugs_fixed_count,9,code_quality (1-10),6,rework_count,5
66,Company_E,1995-03-14,Female,26-30,Project Manager,9,Project Management,English,Muslim,University_R,5,5,1,5,1,87.69,4,3.49,5,28,8,1,30,Knowledge sharing,3,0.5,14,28,22,Marketing Management System,52,325,9,3.17,1,4,5,total_deployments,5,successful_deployments,3,deployment_time_efficiency,0.94,incident_count,8,system_downtime (hrs),19.8,automated_pipeline_stages,7,total_pipeline_stages,8
67,Company_H,1989-04-27,Male,31-35,QA Engineer,15,QA,Tamil,Tamil,University_A,5,3,5,1,2,98.38,5,4.82,4,8,4,2,10,Knowledge sharing,4,0.88,99,112,17,Learning Management System,16,429,3,7.72,3,3,5,total_test_cases_executed,87,total_pass_test_cases,26,total_bugs_detected,12,defect_reopened_count,3,total_documents_created,9,document_quality (1-5),2,test_execution_time (hrs),4
68,Company_H,1987-01-15,Male,36-40,Project Manager,17,Project Management,Sinhala,Tamil,University_R,4,3,3,3,3,89.32,4,1.22,4,36,5,1,4,None observed,10,0.85,33,39,17,Learning Management System,25,167,8,6.13,1,7,4,tasks_assigned,25,tasks_completed,22,tasks_on_time,10,bug_count,8,bugs_fixed_count,7,code_quality (1-10),10,rework_count,5
